gene	nsnps	PP0	PP1	PP2	PP3	PP4
CCL8	6651	5.072998920174445e-11	3.4147366852382398e-09	0.0006710602287836015	0.044215287869270425	0.9551136484364796
CXCR2	5060	1.0357988246995676e-207	2.123005486456801e-06	2.4274473037138594e-203	0.048802519562685394	0.9511953574318165
CTNNB1	5805	5.38777153220196e-243	0.2999673024803641	3.5581230243235495e-243	0.1975981268804622	0.5024345706391935
EDN1	6613	3.81290711624203e-44	0.3921213695983314	1.960679091805642e-44	0.20123061914026577	0.40664801126140093
HGF	6330	4.56241635590091e-08	0.57352755101668	1.6299244836072097e-08	0.20467107222054398	0.22180131483936846
TNFRSF1A	5978	8.440313480564804e-207	0.4048277006446332	8.657122028500559e-207	0.4150464902482334	0.18012580910715575
RPS6KA5	6419	4.498589969047512e-191	0.5090549631077981	2.9389792355396816e-191	0.33241277933477836	0.1585322575574167
PLAUR	7068	1.6000718137730922e-24	0.6331849874172011	6.133743669473557e-25	0.24260204311135306	0.12421296947144678
MMP9	6244	2.129018098738289e-96	0.07137220321967391	2.4623802293032053e-95	0.8253735335295995	0.10325426325073936
IL1B	5244	3.405734488495155e-11	0.24080712713288738	9.739526888230794e-11	0.688575987102766	0.07061688563289269
IL6	6970	1.0613614436022896e-15	0.6364585570355419	5.093760402240305e-16	0.30539551597458764	0.058145926989868035
ESM1	6783	1.0275289051900767e-101	0.7311078043666464	3.021235733989699e-102	0.21491311457385456	0.05397908105950556
CXCL10	6789	1.0085145826706152e-113	0.5355817101733067	7.858532838019744e-114	0.41728808032306	0.04713020950361682
ITPKA	5392	7.838809027643423e-23	0.7316942726779878	2.3987610172133713e-23	0.22386198025544587	0.044443747066563975
NRG1	6161	0.0	0.7759730384944759	0.0	0.19746124888642191	0.026565712619049376
ANG	6893	0.0	0.6977190906132582	0.0	0.27771937197037827	0.02456153741638699
CCL2	6643	5.86619250938598e-13	7.39944249466747e-08	7.759844914026159e-06	0.9787827783265839	0.0212093878334904
TIMP2	7356	0.0	0.3781122362029517	0.0	0.6036921920789854	0.018195571717991514
GMFG	6090	1.2386185260114117e-27	0.7237130421883057	4.451927333478052e-28	0.26010570506263025	0.016181252749067385
ACVR1B	6707	9.709854881599206e-72	0.154976079542474	5.207683623523783e-71	0.8311688982862181	0.013855022171321391
LCP1	5837	2.631199836679849e-118	0.6359146949994424	1.4517952437727218e-118	0.3508601356356298	0.013225169364943772
CXCL1	5047	1.2348266048374259e-113	0.7364463637081217	4.201104193818874e-114	0.2505394030030026	0.013014233288848912
IL15	5761	1.9422797438933834e-96	0.8167538651106259	4.0756101523167175e-97	0.17137282835935905	0.011873306530008976
CTSB	6616	0.0	0.7635308728381319	0.0	0.2280585333297413	0.00841059383207881
JUN	6143	1.1455803275233897e-170	0.6987454768543102	4.808275282628417e-171	0.2932722464848257	0.007982276660889739
PGF	5529	3.2817429273888457e-63	0.10105913933556843	2.9057344479538762e-62	0.8947978843158384	0.004142976348580977
PLAT	5516	4.559081455459381e-14	0.32247137745463617	9.528810642902682e-14	0.6739850050717955	0.0035436174734269806
CSF2RB	6792	7.440866970612652e-55	0.22226818272525636	2.5959368823208807e-54	0.7754371475104932	0.002294669764245927
GDF15	6056	2.996002745780236e-90	0.017592149498199424	1.6719496188227332e-88	0.9817470257958733	0.0006608247059343054
PTBP1	5823	3.9735203082459685e-13	2.7013166625997212e-11	0.014494146984291894	0.985354842081369	0.00015101090692961448
IL32	5399	0.0	1.4946425307308922e-05	0.0	0.9999848673861772	1.8618861688474906e-07
FGF2	5922	7.007911317870087e-45	8.493151239388797e-07	8.251242357532301e-39	0.9999990877775997	6.290728325759114e-08
ICAM1	6039	9.288064003146087e-75	8.101409226514033e-08	1.1464750014179845e-67	0.9999999086152556	1.0370650852795491e-08
ICAM3	6048	0.0	8.101409281258525e-08	0.0	0.9999999154677006	3.5181611196688616e-09
ETS2	6914	6.39074870686707e-254	9.97929758827677e-24	6.404006544884843e-231	1.0	2.0993988871458093e-25
IGFBP4	5214	9.450555434881677e-189	3.766568604281596e-24	2.509062339695167e-165	1.0	7.028537705429154e-26
