gene	outcome	adjusted_exposure	nsnp	theta	se	p	OR	q	q_p	conditional_F_approx	status
CCL8	IBD	gene_expression	3	0.3397834707111496	0.6497745647121117	0.6010263324093151	1.4046434111939967	7.750472728617191	0.0053698483264203005		ok
CCL8	IBD	CRP	3	4.435317637704413	18.858165337341337	0.8140585619427211	84.37892255935259	7.750472728617191	0.0053698483264203005		ok
CCL8	CD	gene_expression	3	0.4150376534595905	0.5700403550161718	0.4665617470244615	1.514427763063076	3.6086038715494655	0.05748135592167304		ok
CCL8	CD	CRP	3	14.0727889588258	16.54237311319681	0.39492956908481114	1293405.161751336	3.6086038715494655	0.05748135592167304		ok
CCL8	UC	gene_expression	3	0.21125688233266754	0.6052631139862988	0.727064433644196	1.2352296229763189	4.1483665969957295	0.04167470651299345		ok
CCL8	UC	CRP	3	-4.954699064138613	17.567418266022685	0.7779135193977135	0.00705020161891933	4.1483665969957295	0.04167470651299345		ok
