dataset	disease	Health	cell_type	gene	perturbation	n_cells	projection_toward_inflamed_mean	projection_toward_inflamed_sem	delta_cosine_inflamed_mean	delta_cosine_quiescent_mean	target_detected_fraction
Smillie_UC	UC	Non-inflamed	Inflammatory Monocytes	CCL8	delete	2	-0.020908158	0.01865464448928833	-0.00087475777	-0.0007865727	1.0
Smillie_UC	UC	Non-inflamed	Macrophages	CCL8	delete	1	-0.017627167	0.0	0.0010606647	0.0011336207	1.0
Smillie_UC	UC	Non-inflamed	Myofibroblasts	CCL8	delete	3	-0.004581127	0.016790498048067093	0.0014257828	0.0014440814	1.0
Smillie_UC	UC	Non-inflamed	Pericytes	CCL8	delete	9	-0.0033660368	0.0037378056440502405	0.00058804615	0.00060158304	1.0
Smillie_UC	UC	Non-inflamed	Plasma	CCL8	delete	1	-0.007919828	0.0	0.00042802095	0.00045835972	1.0
Smillie_UC	UC	Non-inflamed	Post-capillary Venules	CCL8	delete	1	-0.005007203	0.0	-0.00014555454	-0.00012272596	1.0
Smillie_UC	UC	Non-inflamed	WNT2B+ Fos-hi	CCL8	delete	21	0.0006188207	0.005513532552868128	0.00044533468	0.00044316906	1.0
Smillie_UC	UC	Non-inflamed	WNT2B+ Fos-lo 1	CCL8	delete	15	-0.009312977	0.005264332052320242	0.00015401443	0.00019046068	1.0
Smillie_UC	UC	Non-inflamed	WNT2B+ Fos-lo 2	CCL8	delete	10	-0.0066037425	0.010820898227393627	0.0004763186	0.00050174596	1.0
Smillie_UC	UC	Non-inflamed	WNT5B+ 1	CCL8	delete	5	0.0039621685	0.00447569927200675	0.0006340146	0.00061460736	1.0
Smillie_UC	UC	Healthy	Best4+ Enterocytes	CCL8	overexpress	79	0.018050103	0.004160689655691385	0.0008654602	0.0008027297	0.0
Smillie_UC	UC	Healthy	CD4+ Activated Fos-hi	CCL8	overexpress	79	0.017623741	0.0035444239620119333	-0.00014701675	-0.00021513957	0.0
Smillie_UC	UC	Healthy	CD4+ Activated Fos-lo	CCL8	overexpress	79	0.0009804416	0.0038102143444120884	-0.00016688395	-0.00016952165	0.02531645569620253
Smillie_UC	UC	Healthy	CD4+ Memory	CCL8	overexpress	79	0.00010759942	0.004425407852977514	0.00026695637	0.00026603363	0.012658227848101266
Smillie_UC	UC	Healthy	CD4+ PD1+	CCL8	overexpress	73	-0.004243349	0.004863820504397154	0.00018898428	0.00020907514	0.0
Smillie_UC	UC	Healthy	CD8+ IELs	CCL8	overexpress	79	0.000646963	0.004005189519375563	0.0005234857	0.0005260615	0.0
Smillie_UC	UC	Healthy	CD8+ IL17+	CCL8	overexpress	79	0.01053531	0.004969339817762375	6.756979e-05	2.623208e-05	0.0379746835443038
Smillie_UC	UC	Healthy	CD8+ LP	CCL8	overexpress	79	0.003259693	0.00450835982337594	-0.00012636109	-0.00013772295	0.0
Smillie_UC	UC	Healthy	CD69+ Mast	CCL8	overexpress	79	0.013335074	0.005030921660363674	0.0002780451	0.00023515693	0.012658227848101266
Smillie_UC	UC	Healthy	CD69- Mast	CCL8	overexpress	59	0.0120767355	0.0044693429954349995	0.00022450241	0.00017894729	0.0
Smillie_UC	UC	Healthy	Cycling B	CCL8	overexpress	79	0.00083059364	0.0029771209228783846	-0.00037670965	-0.00038050473	0.0
Smillie_UC	UC	Healthy	Cycling Monocytes	CCL8	overexpress	79	0.0032014176	0.0031260517425835133	6.852497e-05	5.6186054e-05	0.06329113924050633
Smillie_UC	UC	Healthy	Cycling T	CCL8	overexpress	79	-0.0003758367	0.003886131104081869	5.979402e-05	6.444092e-05	0.0379746835443038
Smillie_UC	UC	Healthy	Cycling TA	CCL8	overexpress	79	0.019413047	0.0038379437755793333	0.0010058978	0.0009306903	0.0
Smillie_UC	UC	Healthy	DC1	CCL8	overexpress	79	0.0029188294	0.003660930320620537	-0.00040248528	-0.0004126686	0.0
Smillie_UC	UC	Healthy	DC2	CCL8	overexpress	79	0.013706246	0.003586346749216318	-0.0003614901	-0.00041627884	0.0
Smillie_UC	UC	Healthy	Endothelial	CCL8	overexpress	79	0.0036631648	0.004439189564436674	-0.00021692771	-0.0002291293	0.0379746835443038
Smillie_UC	UC	Healthy	Enterocyte Progenitors	CCL8	overexpress	79	-0.0009560013	0.007705617230385542	0.00064554473	0.0006704685	0.0
Smillie_UC	UC	Healthy	Enterocytes	CCL8	overexpress	79	0.020849723	0.004904397297650576	0.0019417556	0.0018668175	0.0
Smillie_UC	UC	Healthy	Enteroendocrine	CCL8	overexpress	79	0.0038007603	0.005430016200989485	0.0004944786	0.00047463705	0.0
Smillie_UC	UC	Healthy	Follicular	CCL8	overexpress	79	0.0018493526	0.004478558897972107	0.00017149464	0.00016527312	0.0
Smillie_UC	UC	Healthy	GC	CCL8	overexpress	79	0.0030923665	0.003595864400267601	-0.00021603893	-0.00022604571	0.0
Smillie_UC	UC	Healthy	Glia	CCL8	overexpress	79	0.01787098	0.004764925222843885	-0.00076947105	-0.00083873316	0.012658227848101266
Smillie_UC	UC	Healthy	Goblet	CCL8	overexpress	79	0.0065286583	0.007426992990076542	-7.674739e-05	-8.877093e-05	0.0
Smillie_UC	UC	Healthy	ILCs	CCL8	overexpress	79	0.011228552	0.0042939214035868645	-2.0843518e-05	-6.0739396e-05	0.0
Smillie_UC	UC	Healthy	Immature Enterocytes 1	CCL8	overexpress	79	0.013081071	0.006930827163159847	0.0013376218	0.0013051395	0.0
Smillie_UC	UC	Healthy	Immature Enterocytes 2	CCL8	overexpress	79	0.009572831	0.004684774205088615	0.0010655213	0.0010384027	0.0
Smillie_UC	UC	Healthy	Immature Goblet	CCL8	overexpress	79	0.012485383	0.007656787056475878	0.00077413156	0.00073840574	0.0
Smillie_UC	UC	Healthy	Inflammatory Fibroblasts	CCL8	overexpress	20	0.010912147	0.007120141759514809	0.00028395356	0.00023381412	0.5
Smillie_UC	UC	Healthy	Inflammatory Monocytes	CCL8	overexpress	79	0.010119728	0.0034853017423301935	0.00030843442	0.00026591972	0.012658227848101266
Smillie_UC	UC	Healthy	M cells	CCL8	overexpress	16	0.013051892	0.008612479083240032	0.0005987324	0.0005446486	0.0
Smillie_UC	UC	Healthy	MT-hi	CCL8	overexpress	79	-0.010021889	0.005204026587307453	0.00047452239	0.0005216757	0.0
Smillie_UC	UC	Healthy	Macrophages	CCL8	overexpress	79	0.010177917	0.003808732843026519	1.3431416e-05	-2.4545041e-05	0.0379746835443038
Smillie_UC	UC	Healthy	Microvascular	CCL8	overexpress	79	0.008450701	0.003585345111787319	-0.00021552964	-0.00024899576	0.02531645569620253
Smillie_UC	UC	Healthy	Myofibroblasts	CCL8	overexpress	79	0.017835883	0.0043748063035309315	-2.419873e-05	-9.9857396e-05	0.0379746835443038
Smillie_UC	UC	Healthy	NKs	CCL8	overexpress	79	0.0033390906	0.00445247208699584	0.00035051606	0.00034108266	0.0
Smillie_UC	UC	Healthy	Pericytes	CCL8	overexpress	73	0.01975496	0.00474992161616683	5.018711e-05	-3.0283241e-05	0.0821917808219178
Smillie_UC	UC	Healthy	Plasma	CCL8	overexpress	79	-0.0032424761	0.004046627786010504	-0.00078107207	-0.000767191	0.0379746835443038
Smillie_UC	UC	Healthy	Post-capillary Venules	CCL8	overexpress	79	0.00578227	0.0038378771860152483	-8.0338e-06	-3.280519e-05	0.012658227848101266
Smillie_UC	UC	Healthy	RSPO3+	CCL8	overexpress	79	0.02013785	0.004033296834677458	-0.00028786855	-0.00037767086	0.1518987341772152
Smillie_UC	UC	Healthy	Secretory TA	CCL8	overexpress	79	0.02038982	0.0038899811916053295	0.001219124	0.0011400535	0.0
Smillie_UC	UC	Healthy	Stem	CCL8	overexpress	79	0.007572224	0.0036033648066222668	0.0007697291	0.0007393051	0.012658227848101266
Smillie_UC	UC	Healthy	TA 1	CCL8	overexpress	79	-0.007278619	0.00759084103628993	-0.0005426852	-0.000507898	0.0
Smillie_UC	UC	Healthy	TA 2	CCL8	overexpress	79	0.015280094	0.004285863600671291	0.0012505967	0.0011971963	0.0
Smillie_UC	UC	Healthy	Tregs	CCL8	overexpress	79	0.0077566835	0.004486790392547846	-6.3683416e-05	-9.368945e-05	0.0
Smillie_UC	UC	Healthy	Tuft	CCL8	overexpress	79	0.018286964	0.005623262841254473	0.00036325862	0.00029933453	0.0
Smillie_UC	UC	Healthy	WNT2B+ Fos-hi	CCL8	overexpress	79	0.0189628	0.004228048026561737	0.00018710125	0.00010831899	0.7974683544303798
Smillie_UC	UC	Healthy	WNT2B+ Fos-lo 1	CCL8	overexpress	79	0.019727394	0.004490577150136232	0.00032824732	0.00024287308	0.7721518987341772
Smillie_UC	UC	Healthy	WNT2B+ Fos-lo 2	CCL8	overexpress	79	0.020870049	0.005456107202917337	4.392183e-05	-4.5885015e-05	0.569620253164557
Smillie_UC	UC	Healthy	WNT5B+ 1	CCL8	overexpress	79	0.020350518	0.004179473966360092	-5.426965e-05	-0.00013888335	0.0379746835443038
Smillie_UC	UC	Healthy	WNT5B+ 2	CCL8	overexpress	79	0.019725416	0.0036037839017808437	-0.0002927071	-0.00037867812	0.02531645569620253
Smillie_UC	UC	Inflamed	Best4+ Enterocytes	CCL8	overexpress	79	0.010279459	0.004273499362170696	0.0008455145	0.0008075117	0.0
Smillie_UC	UC	Inflamed	CD4+ Activated Fos-hi	CCL8	overexpress	79	0.008500166	0.003199441824108362	-0.00017660102	-0.00020828126	0.0
Smillie_UC	UC	Inflamed	CD4+ Activated Fos-lo	CCL8	overexpress	79	0.0069998335	0.004521904978901148	5.3421605e-05	2.40252e-05	0.0
Smillie_UC	UC	Inflamed	CD4+ Memory	CCL8	overexpress	79	0.008346591	0.0045366534031927586	3.745058e-05	4.0417985e-06	0.0
Smillie_UC	UC	Inflamed	CD4+ PD1+	CCL8	overexpress	79	0.0037605525	0.00352491601370275	-2.9966046e-05	-4.2256674e-05	0.0
Smillie_UC	UC	Inflamed	CD8+ IELs	CCL8	overexpress	79	0.0015334099	0.004277093801647425	0.0001054293	0.00010088048	0.0
Smillie_UC	UC	Inflamed	CD8+ IL17+	CCL8	overexpress	79	0.006857518	0.003596686292439699	-0.00017770861	-0.00020586087	0.0
Smillie_UC	UC	Inflamed	CD8+ LP	CCL8	overexpress	79	0.009486393	0.0038430115673691034	5.8329556e-06	-3.1149084e-05	0.0
Smillie_UC	UC	Inflamed	CD69+ Mast	CCL8	overexpress	79	0.0115976455	0.005515869706869125	0.0002074053	0.00016324883	0.0
Smillie_UC	UC	Inflamed	CD69- Mast	CCL8	overexpress	30	0.0026994525	0.0070623294450342655	0.0001494964	0.0001416107	0.0
Smillie_UC	UC	Inflamed	Cycling B	CCL8	overexpress	79	0.0025264942	0.00371989281848073	-5.972008e-05	-6.976007e-05	0.0
Smillie_UC	UC	Inflamed	Cycling Monocytes	CCL8	overexpress	78	0.0032444727	0.0034244528505951166	-0.00021059238	-0.00022107668	0.01282051282051282
Smillie_UC	UC	Inflamed	Cycling T	CCL8	overexpress	79	0.004756841	0.0033035867381840944	-9.6992604e-05	-0.000116309035	0.0
Smillie_UC	UC	Inflamed	Cycling TA	CCL8	overexpress	79	0.018277049	0.003060882445424795	0.00075207633	0.00067731325	0.0
Smillie_UC	UC	Inflamed	DC1	CCL8	overexpress	79	0.008669893	0.003146194852888584	-2.5888032e-05	-6.2563755e-05	0.0
Smillie_UC	UC	Inflamed	DC2	CCL8	overexpress	79	0.0029388343	0.0026589143089950085	-0.00013266862	-0.00014355137	0.0
Smillie_UC	UC	Inflamed	Endothelial	CCL8	overexpress	79	0.000896123	0.004229506012052298	3.4198732e-05	3.1977514e-05	0.012658227848101266
