Cluster	Health	n_cells	CXCR1_mean	CXCR1_pct	CXCR2_mean	CXCR2_pct	IL8_mean	IL8_pct	CXCL1_mean	CXCL1_pct	CXCL5_mean	CXCL5_pct
CD4+ Activated Fos-hi	Healthy	3524	0.0	0.0	0.0	0.0	0.02752073109149933	1.5607264472190692	0.006929329596459866	0.4256526674233825	0.0	0.0
CD4+ Activated Fos-hi	Inflamed	2919	0.0	0.0	0.0	0.0	0.01842987909913063	0.7879410757108599	0.010532442480325699	0.6166495375128468	0.0	0.0
CD4+ Activated Fos-hi	Non-inflamed	3963	0.0	0.0	0.0	0.0	0.018673904240131378	0.984102952308857	0.015861328691244125	0.8579359071410547	0.0003685257106553763	0.025233409033560434
CD4+ Activated Fos-lo	Healthy	3559	0.0	0.0	0.0	0.0	0.013810904696583748	0.7867378477100309	0.003685011062771082	0.19668446192750771	0.0	0.0
CD4+ Activated Fos-lo	Inflamed	2798	0.0	0.0	0.0006122153718024492	0.035739814152966405	0.005173157434910536	0.25017869907076484	0.009027586318552494	0.46461758398856323	0.0	0.0
CD4+ Activated Fos-lo	Non-inflamed	3064	0.0	0.0	0.0	0.0	0.008780250325798988	0.45691906005221933	0.014621302485466003	0.7506527415143603	0.0005011892644688487	0.03263707571801567
CD4+ Memory	Healthy	4993	0.0	0.0	0.0005472332122735679	0.040056078509913884	0.020817629992961884	1.1816543160424595	0.005056642461568117	0.26036451031444025	0.0	0.0
CD4+ Memory	Inflamed	12132	0.0	0.0	0.00041003822116181254	0.02472799208704253	0.006172489374876022	0.2967359050445104	0.011130486615002155	0.5605011539729641	0.0002592243254184723	0.016485328058028353
CD4+ Memory	Non-inflamed	9684	0.00016104168025776744	0.010326311441553078	0.00020722392946481705	0.010326311441553078	0.007500490639358759	0.3614209004543577	0.006714468356221914	0.3201156546881454	0.00017299439059570432	0.010326311441553078
CD4+ PD1+	Healthy	75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD4+ PD1+	Inflamed	294	0.0	0.0	0.0	0.0	0.006330813746899366	0.3401360544217687	0.023700764402747154	1.7006802721088436	0.0	0.0
CD4+ PD1+	Non-inflamed	48	0.0	0.0	0.0	0.0	0.0	0.0	0.03177393972873688	2.083333333333333	0.0	0.0
CD69+ Mast	Healthy	930	0.0	0.0	0.0	0.0	0.07455895841121674	2.3655913978494625	0.011633570306003094	0.43010752688172044	0.0	0.0
CD69+ Mast	Inflamed	2591	0.0	0.0	0.0017804934177547693	0.0771902740254728	0.04541333019733429	1.659590891547665	0.01846274361014366	0.9262832883056734	0.00031905152718536556	0.0385951370127364
CD69+ Mast	Non-inflamed	2133	0.0	0.0	0.0006165081867948174	0.04688232536333802	0.06409384310245514	2.297233942803563	0.01946275681257248	0.7501172058134083	0.0021748740691691637	0.09376465072667604
CD69- Mast	Healthy	60	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CD69- Mast	Inflamed	30	0.0	0.0	0.0	0.0	0.12625472247600555	6.666666666666667	0.0	0.0	0.0	0.0
CD69- Mast	Non-inflamed	53	0.0	0.0	0.0	0.0	0.0	0.0	0.032720036804676056	1.8867924528301887	0.0	0.0
CD8+ IELs	Healthy	1522	0.0	0.0	0.0	0.0	0.003321177326142788	0.19710906701708278	0.0	0.0	0.0	0.0
