model	model_label	dataset	dataset_key	train_n	val_n	auc	auprc	accuracy
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	1196	334	0.7704113632171186	0.7294292764426868	0.6856287425149701
gf_v1_10m	Geneformer V1-10M	Smillie_UC	smillie	1399	338	0.7882452193475815	0.4990862517033095	0.7071005917159763
gf_v2_104m	Geneformer V2-104M	Martin_CD	martin	1187	345	0.695942265795207	0.7060949346401428	0.6521739130434783
gf_v2_104m	Geneformer V2-104M	Smillie_UC	smillie	1375	359	0.637970130580968	0.3296309390310016	0.6350974930362117
