model	model_label	dataset	dataset_key	gene	perturbation	gene_role	null_parent	null_rank	target_detected_fraction	mean_counts	detected_fraction	detected_cells	delta_cosine_inflamed_mean	delta_cosine_quiescent_mean	n_cells	projection_toward_inflamed_mean	projection_toward_inflamed_sem	projection_toward_inflamed_ci_low	projection_toward_inflamed_ci_high	delta_p_inflamed_mean	delta_p_inflamed_sem	delta_p_inflamed_ci_low	delta_p_inflamed_ci_high	projection_null_n	projection_null_mean	projection_null_sd	projection_null_z	projection_empirical_p_abs0	delta_p_null_n	delta_p_null_mean	delta_p_null_sd	delta_p_null_z	delta_p_empirical_p_abs0
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	S100A4	delete		CCL8	2	0.3209150326797386	1.2241907119750977	0.3437908496732026	526	-0.0001474813179811	-0.0001906006073113	491	0.0061401737319939	0.0009334293704956			0.003297662855621	0.0004591838391146												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	S100A4	overexpress		CCL8	2	0.3209150326797386	1.2241907119750977	0.3437908496732026	526	0.0013395234709605	0.0012080568121746	1530	0.018297787532256	0.0017808105173785			0.0070602951029595	0.0006129017254093												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5G3	delete		CCL8	3	0.3281045751633987	1.0483726263046265	0.3333333333333333	510	1.319720468018204e-05	4.234470543451607e-05	502	-0.0042500142884659	0.0011623028761288			-0.0005739092348195	0.0006510911607259												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5G3	overexpress		CCL8	3	0.3281045751633987	1.0483726263046265	0.3333333333333333	510	-0.0002920389524661	-0.0002707412058953	1530	-0.0028531570581786	0.0012642209871605			0.0020488479734684	0.0004715617348234												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	H2AFZ	delete		CCL8	4	0.3366013071895425	1.075824737548828	0.3477124183006536	532	-0.0001443040091544	-8.811001316644251e-05	515	-0.0077114738609858	0.0011224891983126			-0.0026315016599679	0.0005938357534201												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	H2AFZ	overexpress		CCL8	4	0.3366013071895425	1.075824737548828	0.3477124183006536	532	0.0006984748761169	0.0004046555841341	1530	0.0417276215897051	0.0014355796913535			0.0133022981537566	0.000547829357114												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	HSPA1A	delete		CCL8	5	0.2810457516339869	1.2045822143554688	0.3058823529411765	468	-0.0001094680919777	-0.0002819687942974	430	0.0238634196082996	0.001653025946477			0.0108277495798849	0.0008745195141066												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	HSPA1A	overexpress		CCL8	5	0.2810457516339869	1.2045822143554688	0.3058823529411765	468	0.0007660460541956	0.0013599009253084	1530	-0.085187278577017	0.0021997340461413			-0.0401878209936803	0.0010218214358671												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	IL32	delete		CCL8	6	0.288235294117647	1.0130785703659058	0.3215686274509804	492	-5.768783375970088e-05	-0.0001295744150411	441	0.0101514348327715	0.0012761604733215			0.0054262374441166	0.0006631948070244												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	IL32	overexpress		CCL8	6	0.288235294117647	1.0130785703659058	0.3215686274509804	492	0.0006205231766216	0.000689587846864	1530	-0.0109989562599152	0.0014902151206379			-0.0022595737729026	0.000605447243653												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	LMNA	delete		CCL8	7	0.3287581699346405	0.9823592901229858	0.3366013071895425	515	-2.4766144690602232e-08	-2.1577829102170654e-05	503	0.0033384548539756	0.001329838984844			-0.001890056377747	0.0006784208182382												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	LMNA	overexpress		CCL8	7	0.3287581699346405	0.9823592901229858	0.3366013071895425	515	0.0003309427411295	0.0003231454174965	1530	0.0004077093181157	0.0012715723950512			0.0075143184646769	0.0005262139419069												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PDLIM1	delete		CCL8	8	0.3346405228758169	0.9777823686599731	0.338562091503268	518	-8.777121547609568e-05	-1.2934557162225246e-05	512	-0.0108721650365168	0.001666267618916			-0.001657951514062	0.0008291036077335												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PDLIM1	overexpress		CCL8	8	0.3346405228758169	0.9777823686599731	0.338562091503268	518	0.0005630043451674	0.0004439815238583	1530	0.0162757874548654	0.0013454556253173			0.0057797375841224	0.000480202593748												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TNFAIP3	delete		CCL8	9	0.3477124183006536	1.0444495677947998	0.365359477124183	559	4.980584344593808e-05	2.3974735086085275e-05	532	0.0037029674138849	0.0015111421088346			0.0011101428461366	0.0006719775937426												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TNFAIP3	overexpress		CCL8	9	0.3477124183006536	1.0444495677947998	0.365359477124183	559	0.0005723243230022	0.0005179555737413	1530	0.0068076860553393	0.0013317813023984			0.0073256951969823	0.0005563852829677												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TSC22D1	delete		CCL8	10	0.3137254901960784	0.9601348638534546	0.3333333333333333	510	7.160293898778036e-05	6.604840018553659e-05	480	0.0009326699674905	0.0013689571494077			0.001822657083782	0.0007709973767005												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TSC22D1	overexpress		CCL8	10	0.3137254901960784	0.9601348638534546	0.3333333333333333	510	0.0002382881502853	0.0002490903425496	1530	-0.0021843243048684	0.001248936625036			-0.0026020202593987	0.000496355692631												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TUBA1B	delete		CCL8	11	0.2771241830065359	1.2895499467849731	0.2888888888888888	442	1.927015364344697e-05	1.5020932551124131e-05	424	0.0004871206013222	0.0010729401132861			0.0015642572466705	0.0004596524819116												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TUBA1B	overexpress		CCL8	11	0.2771241830065359	1.2895499467849731	0.2888888888888888	442	0.0004008906835224	0.0002958890690933	1530	0.0152769839029692	0.0013863323149868			-0.0012748916426466	0.0005254453161731												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	COX7B	delete		CCL8	12	0.3666666666666666	1.0751712322235107	0.3751633986928104	574	5.106237495056121e-07	7.277504209923791e-06	561	-0.0006750276745521	0.0011225956698414			5.975418762302229e-06	0.0006096807052837												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	COX7B	overexpress		CCL8	12	0.3666666666666666	1.0751712322235107	0.3751633986928104	574	-5.201113162911497e-05	-3.736541111720726e-05	1530	-0.0018927930637408	0.001260675046532			-0.0002644699626888	0.0004817239789934												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ANXA2	delete		CCL8	13	0.361437908496732	1.3398789167404177	0.3751633986928104	574	-9.13119438337162e-05	-8.667528163641691e-05	553	-0.000794758633702	0.0011115854693714			0.0003174929130168	0.0006070399147014												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ANXA2	overexpress		CCL8	13	0.361437908496732	1.3398789167404177	0.3751633986928104	574	0.0009968916419893	0.0008876941283233	1530	0.0147223294436402	0.0015576298089667			0.0072418592870235	0.0005330753629246												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	GSN	delete		CCL8	14	0.2901960784313726	0.93725848197937	0.2986928104575163	457	9.966809739125893e-05	5.77520695514977e-05	444	0.0055735376921769	0.0016483638575233			6.486534409493477e-05	0.0008878396142269												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	GSN	overexpress		CCL8	14	0.2901960784313726	0.93725848197937	0.2986928104575163	457	0.0005282012280076	0.0005959507543593	1530	-0.0105432383077343	0.0014809211823961			-0.0013002137635268	0.0005303109251128												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ID2	delete		CCL8	15	0.3660130718954248	1.3215757608413696	0.3823529411764705	585	-9.573379065841436e-05	-0.0001895901368698	560	0.013362260438693	0.0013907932923132			0.0066269304303984	0.0006880724174157												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ID2	overexpress		CCL8	15	0.3660130718954248	1.3215757608413696	0.3823529411764705	585	0.0002678021846804	0.0004253812949173	1530	-0.0229438191078134	0.0013164431959331			-0.0080778153433641	0.0005411584473548												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TPI1	delete		CCL8	16	0.3836601307189543	1.1294201612472534	0.3908496732026144	598	-7.529396680183709e-05	-6.40019861748442e-05	587	-0.0016591135966567	0.0010303719747085			-0.0015474910367108	0.0005517965689872												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TPI1	overexpress		CCL8	16	0.3836601307189543	1.1294201612472534	0.3908496732026144	598	-0.0001890634011942	-0.0002419388038106	1530	0.0074220621803154	0.0013010564760325			0.0041912797406267	0.0005013511779182												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CTSC	delete		CCL8	17	0.3751633986928104	1.3019678592681885	0.3888888888888889	595	-8.392333984375e-05	-9.296579810325056e-05	574	0.0008529224096333	0.0017533736119652			0.0034501639564719	0.0008157220940464												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CTSC	overexpress		CCL8	17	0.3751633986928104	1.3019678592681885	0.3888888888888889	595	0.0006054341210983	0.0006043049506843	1530	-0.0004458038707787	0.0012925633150034			-0.0014633743220246	0.0005184450955223												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SLC25A3	delete		CCL8	18	0.3712418300653595	0.9398753643035888	0.3797385620915032	581	-2.564164606155828e-05	1.010340747598093e-05	568	-0.004922846428522	0.0011322528057758			-0.0020289048946029	0.0005801849175757												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SLC25A3	overexpress		CCL8	18	0.3712418300653595	0.9398753643035888	0.3797385620915032	581	-8.277912274934351e-05	-0.000165647274116	1530	0.0116300149978248	0.0012508933736614			0.0048734172734316	0.0004801524023831												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	EGR1	delete		CCL8	19	0.265359477124183	0.9464088082313538	0.2790849673202614	427	6.203478551469743e-05	-7.179878593888134e-05	406	0.0179345602682319	0.0017340627076833			0.0075235395311501	0.0007975058723468												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	EGR1	overexpress		CCL8	19	0.265359477124183	0.9464088082313538	0.2790849673202614	427	0.00033196300501	0.0006730660097673	1530	-0.0488289479058984	0.0018127423426039			-0.0162956501965964	0.0007678228685598												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	DBI	delete		CCL8	20	0.3490196078431372	0.8686324954032898	0.3594771241830065	550	-3.934754931833595e-05	-3.1845178455114365e-05	534	-0.000985697585451	0.0011653985372924			0.0011990548544022	0.0005781974891213												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	DBI	overexpress		CCL8	20	0.3490196078431372	0.8686324954032898	0.3594771241830065	550	0.0002355963224545	0.0002523848961573	1530	-0.0026098813752041	0.0013425261293542			-0.0043527466890225	0.0005149940300574												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5I	delete		CCL8	21	0.3372549019607843	0.849679708480835	0.3477124183006536	532	5.753557707066648e-05	4.170477041043341e-05	516	0.0022365317685356	0.0012572340864453			0.000837058009392	0.0006634447417018												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5I	overexpress		CCL8	21	0.3372549019607843	0.849679708480835	0.3477124183006536	532	-9.53604612732306e-05	5.783598226116737e-06	1530	-0.0139769314617463	0.0012836118099067			-0.0039928101913187	0.0005079571579288												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ANXA1	delete		CCL8	22	0.3849673202614379	1.2241921424865725	0.4032679738562091	617	-4.925630491925404e-06	-1.702800545899663e-05	589	0.0014800754078689	0.0012171183607137			0.0021324403052722	0.0005718870586213												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ANXA1	overexpress		CCL8	22	0.3849673202614379	1.2241921424865725	0.4032679738562091	617	0.0014985699672251	0.0013545360416173	1530	0.0202686638279142	0.0020099966655249			-0.0002125043120673	0.000602072756562												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PEBP1	delete		CCL8	23	0.3627450980392157	0.9039278030395508	0.3777777777777777	578	-0.0002189428923884	-0.0002248367818538	555	0.0006371428669841	0.0011791736941081			0.0019712325370123	0.0006157995312472												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PEBP1	overexpress		CCL8	23	0.3627450980392157	0.9039278030395508	0.3777777777777777	578	0.0001895113673526	0.0002479280228726	1530	-0.0082766591913288	0.0012684418265515			-0.0051368960480698	0.0004855043875619												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	COX6A1	delete		CCL8	24	0.3967320261437908	1.0692898035049438	0.4019607843137255	615	-8.041805995162576e-05	-6.255689368117601e-05	607	-0.0022446616877659	0.0011642943623524			2.588400896485201e-05	0.0006550637463702												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	COX6A1	overexpress		CCL8	24	0.3967320261437908	1.0692898035049438	0.4019607843137255	615	1.2407154827087652e-05	1.7591044525033794e-05	1530	-0.0006541949351016	0.0012354562326874			0.0020444574446289	0.0004945944676501												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RGS2	delete		CCL8	25	0.2790849673202614	0.8673239350318909	0.2895424836601307	443	-0.0001006010570563	-0.0001504340325482	427	0.0071495187409392	0.0016517327320457			0.0074988756311372	0.0008184199125741												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RGS2	overexpress		CCL8	25	0.2790849673202614	0.8673239350318909	0.2895424836601307	443	0.0005732889403589	0.0006007022457197	1530	-0.004553605862429	0.0012688878453034			-0.0113308973208654	0.0005819953056173												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEC61G	delete		CCL8	26	0.3640522875816993	0.8235346078872681	0.369281045751634	565	3.4638538636500016e-05	5.105078889755532e-05	557	-0.0022619948206181	0.0011973989476685			-0.000931979733882	0.0006198360456695												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEC61G	overexpress		CCL8	26	0.3640522875816993	0.8235346078872681	0.369281045751634	565	-6.540647882502526e-05	-6.735200440743938e-05	1530	0.0005158525216697	0.001280986970151			0.0043604412956126	0.0005038156245126												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	VMP1	delete		CCL8	27	0.4078431372549019	1.109810709953308	0.4169934640522876	638	-9.74685899564065e-05	-4.976405034540221e-05	624	-0.006327979536227	0.0014813902745214			-0.0054844584083184	0.0007172908796732												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	VMP1	overexpress		CCL8	27	0.4078431372549019	1.109810709953308	0.4169934640522876	638	-8.176155824912712e-05	-0.0001492004375904	1530	0.0091305231431261	0.0012508315326468			0.0085129567044574	0.000520561957673												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5J	delete		CCL8	28	0.388235294117647	0.886280357837677	0.3934640522875817	602	-2.339662933081854e-05	-4.174562855041586e-05	594	0.0024061471802772	0.0011024113190806			0.002292676153044	0.0006461629119562												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	ATP5J	overexpress		CCL8	28	0.388235294117647	0.886280357837677	0.3934640522875817	602	-0.0005115350359119	-0.0003668901626951	1530	-0.0203821543714844	0.0013696038874552			-0.0052522393984391	0.0005011383113102												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	FKBP1A	delete		CCL8	29	0.2758169934640523	0.7934684753417969	0.2895424836601307	443	-2.462505108269397e-05	1.3053841030341571e-05	422	-0.0049151849110337	0.0013246655991367			-0.0024950794160577	0.0007131915680373												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	FKBP1A	overexpress		CCL8	29	0.2758169934640523	0.7934684753417969	0.2895424836601307	443	0.0003743727575056	0.0002966235915664	1530	0.0108002367462914	0.0012989209197947			0.0030374359351649	0.0004829834148706												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MGST3	delete		CCL8	30	0.2908496732026144	0.7784357070922852	0.2973856209150327	455	-5.674254862242378e-05	-3.826363536063582e-05	445	-0.0025200907222068	0.0012965093416631			0.0004349698323044	0.0007213017266503												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MGST3	overexpress		CCL8	30	0.2908496732026144	0.7784357070922852	0.2973856209150327	455	-7.738930435152724e-05	-2.333147858735174e-05	1530	-0.0077493774467239	0.0013097629436743			-0.0023421216110875	0.0005084651140915												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SPCS1	delete		CCL8	31	0.3862745098039216	0.8549070954322815	0.3941176470588235	603	8.227256330428645e-06	-8.58337170939194e-06	591	0.0023786609211555	0.0013413982415256			0.000744009732431	0.0006810665224495												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SPCS1	overexpress		CCL8	31	0.3862745098039216	0.8549070954322815	0.3941176470588235	603	-2.291147939104121e-05	-7.550622740382096e-06	1530	-0.0020041886989477	0.0012793461644455			0.00058799939644	0.0004840375742266												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RHOA	delete		CCL8	32	0.3947712418300653	0.8986985087394714	0.4045751633986928	619	1.0969327377097216e-05	3.5136246879119426e-05	604	-0.0034798505738769	0.0011217999452609			0.0002680888834304	0.0005958670650284												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RHOA	overexpress		CCL8	32	0.3947712418300653	0.8986985087394714	0.4045751633986928	619	-7.478598854504526e-05	-0.0001666503812884	1530	0.0129166065061273	0.0012907991962682			0.0054502047519229	0.0005007865332472												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	HMGN2	delete		CCL8	33	0.4130718954248366	1.1039307117462158	0.4235294117647059	648	8.172721209120937e-06	-2.2492360585602e-05	632	0.0040873307288039	0.0011697982372653			0.0009036591804079	0.0006042124022883												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	HMGN2	overexpress		CCL8	33	0.4130718954248366	1.1039307117462158	0.4235294117647059	648	0.000252269761404	0.0002857257786672	1530	-0.0050599997682843	0.0013058240573298			-6.101483637406156e-05	0.0005014472979698												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RPL17	delete		CCL8	34	0.365359477124183	0.8529461026191711	0.3986928104575163	610	-6.370648770825937e-05	-7.360352901741862e-05	559	0.0015277896013547	0.0009555522973014			0.0012730055110452	0.0004824891035466												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RPL17	overexpress		CCL8	34	0.365359477124183	0.8529461026191711	0.3986928104575163	610	0.0001650164340389	0.0001354852865915	1530	0.0040882646336731	0.0012811143971942			1.969359346415872e-05	0.0005109320939338												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	NDUFS5	delete		CCL8	35	0.4045751633986928	0.8902026414871216	0.4098039215686274	627	-1.4758167708350811e-05	-1.0638514140737245e-05	619	-0.0006444641589811	0.0010989999931332			-0.0002600425532349	0.0005768886130253												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	NDUFS5	overexpress		CCL8	35	0.4045751633986928	0.8902026414871216	0.4098039215686274	627	3.808191468124278e-05	3.3891552448039874e-05	1530	0.0006195210005625	0.0012474356011046			0.0018219074459588	0.0004967465826392												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	YWHAB	delete		CCL8	36	0.349673202614379	0.7287622094154358	0.3562091503267974	545	-4.490179435379105e-06	5.742211214965209e-06	535	-0.0014421653779328	0.0012072625585575			0.0001967569760908	0.0006103380226483												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	YWHAB	overexpress		CCL8	36	0.349673202614379	0.7287622094154358	0.3562091503267974	545	-0.0004876018210779	-0.0005021795514039	1530	0.0025095206994283	0.0013666620893153			0.0015354831270824	0.0004815808732999												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	IL7R	delete		CCL8	37	0.2424836601307189	0.8718984127044678	0.2509803921568627	384	0.0007934164023026	0.0007373064290732	371	0.0071419122537241	0.0018697776390386			0.0010754981773561	0.0008873579419339												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	IL7R	overexpress		CCL8	37	0.2424836601307189	0.8718984127044678	0.2509803921568627	384	0.0009279104415327	0.0009011664660647	1530	0.0023873825519485	0.0015069604031267			0.0020463029647039	0.0005330047443685												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEPT7	delete		CCL8	38	0.3568627450980392	0.7483696341514587	0.3771241830065359	577	3.320568066556007e-05	4.7851830458967015e-05	546	-0.0020414928239582	0.0013177579891703			-0.0007674882099741	0.0006831723619754												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEPT7	overexpress		CCL8	38	0.3568627450980392	0.7483696341514587	0.3771241830065359	577	6.900359585415572e-05	8.393230018555187e-06	1530	0.0086409216567499	0.0012825347146876			0.0022603409979614	0.0004863634306356												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PDIA3	delete		CCL8	39	0.3450980392156862	0.711114764213562	0.3549019607843137	543	5.387413330026902e-05	5.029582098359242e-05	528	0.0002056056813065	0.0012423043380337			1.8626608476607185e-05	0.0006255284176356												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PDIA3	overexpress		CCL8	39	0.3450980392156862	0.711114764213562	0.3549019607843137	543	0.0002151224325643	0.0001841017656261	1530	0.0041523268969434	0.0012735484017008			0.0048208330843135	0.0005035189076903												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CYR61	delete		CCL8	40	0.2104575163398692	1.0882384777069092	0.2248366013071895	344	0.0002244148199679	0.0001425470982212	322	0.0115064596073985	0.002236360755593			0.0007157145640726	0.0011077472999533												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CYR61	overexpress		CCL8	40	0.2104575163398692	1.0882384777069092	0.2248366013071895	344	0.0004675691016018	0.0006203896482475	1530	-0.0220715385448534	0.0013919958388505			-0.0021237643806909	0.0005054415028865												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RTN4	delete		CCL8	41	0.3477124183006536	0.7196118235588074	0.3686274509803922	564	-2.1990976165398024e-05	-5.641153961732925e-07	532	-0.0029594611920962	0.0010677260427967			-0.0019575208828161	0.0005581436135412												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	RTN4	overexpress		CCL8	41	0.3477124183006536	0.7196118235588074	0.3686274509803922	564	-9.942288670572452e-06	-7.83951036282815e-05	1530	0.0099450535470775	0.0012795627159578			0.0073876998688587	0.00053248868246												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PARK7	delete		CCL8	42	0.3254901960784314	0.6875849962234497	0.3333333333333333	510	4.072421506862156e-05	6.023228706908412e-05	498	-0.0029727450476577	0.0012805447291086			-0.000567077548733	0.0006204359876107												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	PARK7	overexpress		CCL8	42	0.3254901960784314	0.6875849962234497	0.3333333333333333	510	-0.0001083319075405	-3.138531246804632e-05	1530	-0.0101889963854512	0.0013009301605351			-0.0054830403030649	0.0004966401448462												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TMEM258	delete		CCL8	43	0.3522875816993464	0.7026180624961853	0.3601307189542483	551	-0.0001827698433771	-0.0001964888651855	539	0.0018774168127422	0.0013246304335408			0.0023877418484255	0.0006764038768938												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	TMEM258	overexpress		CCL8	43	0.3522875816993464	0.7026180624961853	0.3601307189542483	551	0.00023371775751	0.0002550402423366	1530	-0.0032582147664	0.0012647463570036			-0.0001100488347944	0.0005047613691311												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	EID1	delete		CCL8	44	0.4169934640522876	0.9209206700325012	0.4261437908496732	652	-5.2187977416906506e-05	-8.779904601396993e-05	638	0.0048812291348428	0.0012580561428571			0.0038047428388837	0.0006646409991927												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	EID1	overexpress		CCL8	44	0.4169934640522876	0.9209206700325012	0.4261437908496732	652	3.802651553996839e-05	0.0001722857850836	1530	-0.0192616363239377	0.0012941309504665			-0.0024786680133319	0.0005047752403297												
