model	model_label	dataset	dataset_key	gene	perturbation	gene_role	null_parent	null_rank	target_detected_fraction	mean_counts	detected_fraction	detected_cells	delta_cosine_inflamed_mean	delta_cosine_quiescent_mean	n_cells	projection_toward_inflamed_mean	projection_toward_inflamed_sem	projection_toward_inflamed_ci_low	projection_toward_inflamed_ci_high	delta_p_inflamed_mean	delta_p_inflamed_sem	delta_p_inflamed_ci_low	delta_p_inflamed_ci_high	projection_null_n	projection_null_mean	projection_null_sd	projection_null_z	projection_empirical_p_abs0	delta_p_null_n	delta_p_null_mean	delta_p_null_sd	delta_p_null_z	delta_p_empirical_p_abs0
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CXCL10	delete	control		0	0.0163398692810457	0.1921568661928177	0.0176470588235294	27	0.0001150536554632	0.0002092146896757	25	-0.0137228385545313	0.0066010202986607	-0.0264018207867629	-0.0016509452075697	-0.0025966751575469	0.0015903478209666	-0.0058880981504917	0.0006237635910511										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CXCL10	overexpress	control		0	0.0163398692810457	0.1921568661928177	0.0176470588235294	27	0.0006038746796548	0.0005352894659154	1530	0.0090663419640775	0.0012955975318578	0.0067514256216864	0.011391658231934	0.0055992653976906	0.0005173388314418	0.0046645586694639	0.0067060416599193										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CXCL8	delete	control		0	0.065359477124183	0.6457524299621582	0.0771241830065359	118	4.906237154500559e-05	4.188001184957102e-05	100	0.0013608635030686	0.0026066022771151	-0.0031183633618056	0.0065404238809424	-0.0008335358649492	0.0011738640117393	-0.0028271725066006	0.0016656435150653										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	CXCL8	overexpress	control		0	0.065359477124183	0.6457524299621582	0.0771241830065359	118	0.0014164962340146	0.0012166908709332	1530	0.0261703882541422	0.0014827495007422	0.0230904419136612	0.0291095710422324	0.0128678202059947	0.0006438809159972	0.0116914690291247	0.0139905047844151										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MMP3	delete	control		0	0.015032679738562	0.1633986979722976	0.0156862745098039	24	0.0006301221437752	0.0004211586492601	23	0.0295630336901092	0.0089306131136195	0.0137158195432478	0.044023949530421	0.0012949957795765	0.0037660358556099	-0.0056252136907499	0.007610512929766										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MMP3	overexpress	control		0	0.015032679738562	0.1633986979722976	0.0156862745098039	24	0.0006723828846588	0.0008093981305137	1530	-0.0214247570456815	0.0014684357378312	-0.0245089845714125	-0.0183679915025253	0.0067387377618038	0.0005880539443871	0.0056087186830148	0.0078512835011549										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MMP9	delete	control		0	0.0124183006535947	0.0660130754113197	0.0130718954248366	20	0.0001256497344002	0.0002430834283586	19	-0.0154142590901373	0.006566482268159	-0.0285684108194944	-0.0022243419254664	-0.0037222473244918	0.0018508260394439	-0.0072445950225779	-0.0003207140062984										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	MMP9	overexpress	control		0	0.0124183006535947	0.0660130754113197	0.0130718954248366	20	0.0011245275381952	0.000855071877595	1530	0.0370737304820472	0.0014522641328579	0.0343242267061696	0.0399025972809675	0.0088843551278723	0.0005452334510994	0.0079424853023716	0.009968213632511										
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEPP1	delete		CCL8	1	0.3039215686274509	1.2215749025344849	0.3241830065359477	496	0.000284237001324	0.0002142094745067	465	0.0097116140541069	0.0013281619410772			0.0082015171767242	0.0008192998386998												
gf_v1_10m	Geneformer V1-10M	Martin_CD	martin	SEPP1	overexpress		CCL8	1	0.3039215686274509	1.2215749025344849	0.3241830065359477	496	0.0003983290225733	0.0005107700708322	1530	-0.016731356494958	0.0014085034991524			-0.0108523420742986	0.000572221881739												
