gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	Stromal_other	T_NK
COX6A1	0.6310915	0.97810817	1.6096342	0.84319466	0.6404755	0.69023925	0.8234794	0.5991237
COX6A1P2	0.11271824	0.27733424	0.75055474	0.20378391	0.16064814	0.15149242	0.16342418	0.11847715
COX6B1	0.8634976	1.0698768	1.8732778	1.0474887	0.7346463	1.2986253	0.976428	0.87965167
COX6B2	0.009465372	0.008019409	0.14748774	0.013244836	0.0113852	0.00706922	0.021356113	0.018443976
COX6C	0.66932267	1.2459757	1.8681421	0.9963305	0.6482837	0.9164449	0.992395	0.86150014
COX7A1	0.01464829	2.0909045	0.0049110875	1.6994345	0.19475144	0.055210464	1.3508084	0.0073229265
COX7A2	1.1143788	1.2237622	1.8781329	1.0473595	0.9385643	1.0598724	1.0977623	0.9035086
COX7A2L	0.563852	0.88443553	0.8997883	0.88244194	0.49799457	0.6700443	0.57590544	0.62417555
COX7B	0.55124015	0.80071837	1.4889438	0.67950976	0.5666232	1.0017093	0.6172539	0.59213936
COX7B2	0.0	0.0	0.007920433	0.0	0.0	0.0	0.0	0.0
COX7C	1.3259995	1.2798889	1.973037	1.5343146	1.195719	1.5344743	0.83515984	1.4965073
COX8A	0.5544959	0.85019696	1.6567979	0.8046878	0.6281122	1.0713814	0.7551237	0.664973
CP	0.0042008343	0.08555534	0.00092005514	1.2113535	0.0037950664	0.0060915696	0.02234434	0.0034186922
CPA2	0.0	0.0	0.01980746	0.0	0.0	0.0	0.0	0.0
CPA3	0.044205442	0.036328953	0.014354725	0.025801688	5.836854	0.017529538	0.03477451	0.0081450585
CPA5	0.0039487067	0.004831476	0.0012878893	0.0028042395	0.0056926	0.0011496408	0.0	0.118567206
CPA6	0.002013288	0.0	0.2165664	0.06703295	0.0018975332	0.0011328425	0.07474639	0.0013462756
CPAMD8	0.05514454	0.15845598	0.02173544	0.16036248	0.0626186	0.034395088	0.016017085	0.0050881426
CPB1	0.00028241938	0.0	0.00743529	0.0	0.0037950664	0.0004926594	0.0	0.00013462755
CPB2-AS1	0.004112655	0.007701194	0.016043972	0.014947684	0.0037950664	0.0059119123	0.010678057	0.0036349439
CPD	0.07608045	0.81501585	0.37380415	0.2464653	0.09338251	0.19530773	0.22407843	0.15873314
CPE	0.016418455	2.389493	0.080546655	0.36020297	0.0059359125	0.009972378	1.3413482	0.012231472
CPEB1	0.0022591783	0.0	0.0	0.0841341	0.0075901328	0.0039257077	0.06406834	0.002423296
CPEB2	0.053012624	0.24922135	0.18441178	0.0770799	0.05323973	0.17707445	0.11469896	0.04679983
CPEB2-AS1	0.0	0.0	0.001561074	0.0	0.0	0.0	0.0	0.0
CPEB3	0.0698711	0.17724997	0.1289957	0.07821137	0.036053132	0.15455349	0.05896111	0.027227735
CPEB4	0.3601294	0.24753168	0.16511314	0.10451738	0.3068083	0.32697847	0.16112693	0.088802055
CPED1	0.02454387	0.087530494	0.0039126296	0.78523403	0.008724572	0.26747286	0.026326317	0.006012324
CPLX1	0.032550782	1.0475901	0.05254572	0.024976132	0.0018975332	0.009421196	0.007928937	0.03471575
CPM	0.028994605	0.10214217	0.39046705	0.68082434	0.6994663	0.27924588	0.47364634	0.053739794
CPN1	0.0	0.0	0.0012008261	0.0	0.0	0.0	0.0	0.0
CPNE1	0.33560365	0.464993	0.30464104	0.5925322	0.19892754	0.28909788	0.49074	0.4181002
CPNE2	0.009137163	1.030724	0.38519084	0.12523793	0.008378452	0.17143704	0.3946675	0.08877249
CPNE3	0.18538862	0.5223939	0.47773862	0.50871706	0.022543402	0.3752115	0.47800577	0.21116176
CPNE4	0.0	0.0019252985	0.0	0.026478752	0.0	0.0	0.0	0.0
CPNE5	0.4673871	0.1474996	0.05198083	0.016580626	0.07103113	0.016333614	0.015498675	0.015663072
CPNE7	0.005883544	0.005098705	0.02113995	0.0021353832	0.0	0.0044901124	0.0013987372	0.111213066
CPNE8	0.015762448	1.0088618	0.16516446	0.6492108	0.03804318	0.2214759	0.17327799	0.025180228
CPNE9	0.00037655918	0.0	0.00060041307	0.0	0.0	0.006897231	0.0	0.0006731378
CPOX	0.08105768	0.17193879	0.15845421	0.1795636	0.043763373	0.17774056	0.12524028	0.11427694
CPPED1	0.041171532	0.23834465	0.1658169	0.28245884	0.4397612	0.9194565	0.4433719	0.07403788
CPQ	0.11404959	0.39800996	0.09869002	1.4134547	0.25705415	0.39105946	0.72492164	0.125597
CPS1	0.005069838	0.01628694	0.07045606	0.015333913	0.0018975332	0.0028723117	0.016017085	0.004577337
CPSF1	0.09944937	0.24530515	0.3555175	0.1629701	0.08383196	0.1283594	0.12056265	0.10328841
CPSF2	0.1121227	0.2706613	0.24013305	0.23009574	0.11973675	0.26158324	0.16233428	0.15022804
CPSF3	0.13104962	0.28161544	0.26909554	0.27243823	0.16884205	0.2445598	0.23691832	0.14224198
CPSF3L	0.22455229	0.4376082	0.4538988	0.46658984	0.124040216	0.23123515	0.35494733	0.25825176
CPSF4	0.18948157	0.1945836	0.20249216	0.19746636	0.09743531	0.15399055	0.19395424	0.15838769
CPSF6	0.24206187	0.33710736	0.3495548	0.3767759	0.27068952	0.26894364	0.35426712	0.29392177
CPSF7	0.13810574	0.3487563	0.24457645	0.29941386	0.15292378	0.27027953	0.22715823	0.18892519
CPT1A	0.08306205	0.3722537	0.52311975	0.12776746	0.08922358	0.24248028	0.09665621	0.10596154
