gene	B_Plasma	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	T_NK
FOXG1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01551	0.0025912703	0.010346611	0.0	0.0	0.0	0.0	0.0015410356
RP11-966I7.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-966I7.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-966I7.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2384A14.1	0.00086375675	0.0051733055	0.011366866	0.0	0.0	0.0	0.00044029587
RP11-148E17.1	0.0	0.0	0.0	0.0	0.0	0.0014865467	0.0
CTD-2384A14.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-260G13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRKD1	0.006175048	0.21654393	0.0014208582	0.26664862	0.0	0.0044596405	0.0017611835
CTD-2503I6.1	0.016478203	0.044859838	0.017238582	0.012048192	0.0	0.021900486	0.01949857
RP11-269C4.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2251F13.1	0.0	0.0	0.0042625745	0.0	0.0	0.0	0.0
RP11-1103G16.1	0.0	0.0	0.0	0.004016064	0.0	0.0	0.0006604438
G2E3	0.10030507	0.28370923	0.16825607	0.2385924	0.14836214	0.12284818	0.1629297
SCFD1	0.29598448	0.36667332	0.354108	0.36251038	0.2248598	0.2690567	0.23472135
RP11-159L20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0
COCH	0.078766376	0.060163107	0.03659147	0.07292888	0.027777778	0.025799375	0.03466866
RP11-829H16.3	0.00028791893	0.0	0.0014208582	0.0	0.0	0.0014865467	0.00022014794
STRN3	0.122961126	0.35257572	0.22743654	0.40671965	0.100463346	0.18441343	0.14918076
AP4S1	0.102493495	0.24083593	0.094196804	0.17822275	0.15683268	0.13616435	0.1361983
HECTD1	0.22269708	0.58797175	0.29290608	0.46037832	0.3042302	0.4185934	0.36456582
RP11-596D21.1	0.019241858	0.05285454	0.02098792	0.036144577	0.009259259	0.03664656	0.028616935
HEATR5A	0.04761868	0.2722156	0.2082456	0.18922095	0.009259259	0.15979451	0.054781366
RP11-176H8.1	0.019952476	0.034138244	0.035524286	0.052208837	0.009259259	0.040813517	0.017509785
CTD-2213F21.2	0.003455027	0.0	0.014199058	0.0	0.0	0.0044596405	0.0
DTD2	0.06751396	0.13771643	0.14792308	0.09990746	0.063800886	0.124917805	0.073799655
GPR33	0.0	0.0	0.0	0.0	0.0	0.0	0.0
