gene	Epithelial	Fibroblast	Myeloid	T_NK	B_Plasma	Endothelial	Mast	Stromal_other
ABCA4	0.2296568	0.002008032	0.0012483489	0.0003302219	0.00090303516	0.009498855	0.0	0.0
ABCA5	0.5098891	0.21624854	0.0933241	0.15170069	0.15783499	0.21076319	0.15990973	0.139538
ABCA6	0.018109875	1.4531926	0.01479969	0.007615473	0.03000129	0.046740904	0.004743833	0.19035545
ABCA7	0.06480954	0.015328583	0.2179049	0.11082676	0.07052514	0.08153653	0.09053487	0.010678057
ABCA8	0.0054236692	2.50995	0.009033215	0.007884995	0.01603343	0.03305029	0.0075329514	0.79662526
ABCA9	0.009837285	0.2862655	0.006174849	0.0024952882	0.0081746	0.007889397	0.0009487666	0.053390283
ABCB1	0.4950436	0.0567248	0.05448266	0.18319173	0.0501531	0.38604605	0.061619855	0.0053390283
ABCB10	0.21159714	0.12577967	0.14145216	0.058446903	0.04177671	0.17360258	0.041871585	0.10049782
ABCB11	0.0010207023	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCB4	0.006912241	0.07626294	0.06921009	0.003179315	0.08083601	0.05554637	0.014837655	0.20563377
ABCB5	0.11379759	0.03123068	0.035007205	0.018185174	0.017576396	0.027234923	0.008424696	0.010678057
ABCB7	0.22868942	0.20604372	0.19812581	0.14501598	0.12035684	0.21501969	0.1506804	0.17226622
ABCB8	0.26387417	0.22737196	0.10940724	0.12954353	0.12277673	0.1565131	0.18375668	0.21408933
ABCB9	0.05147264	0.04605697	0.02529698	0.035633445	0.40109435	0.07710659	0.0433624	0.053709187
ABCC1	0.0986318	0.14590716	0.1823933	0.1172764	0.06370263	0.15275338	0.18864197	0.06538181
ABCC10	0.11991933	0.114772975	0.074783795	0.080992274	0.05200948	0.13941142	0.027009854	0.09781144
ABCC2	0.11945507	0.008886281	0.0050991173	0.0024707345	0.0042643454	0.0028879477	0.0	0.0053390283
ABCC3	1.0555613	0.08211629	0.17442447	0.017069021	0.018320285	0.05401341	0.035353623	0.009214383
ABCC4	0.06744887	0.49638832	0.16271774	0.038357697	0.062055856	0.5786443	0.2751991	0.0577501
ABCC5	0.16281526	0.24152069	0.26324934	0.08460077	0.04951942	0.15614688	0.08308534	0.21992636
ABCC6	0.49760407	0.034636587	0.02191601	0.0027790437	0.00479481	0.013940098	0.0075901328	0.0053390283
ABCC8	0.010731436	0.008032128	0.0	0.0	0.00043187838	0.0051733055	0.0	0.0
ABCC9	0.0035757967	0.0914703	0.0017328764	0.0002447015	0.0017192642	0.09938438	0.0	0.40576616
ABCD1	0.17746028	0.089352004	0.23243517	0.06420767	0.037090857	0.09932615	0.03420268	0.073084354
ABCD2	0.0034191334	0.009654248	0.02124115	0.08334844	0.0416485	0.012271909	0.0	0.0015387373
ABCD3	0.51671326	0.27101654	0.10837831	0.103157535	0.06054631	0.21570247	0.16612925	0.44651616
ABCD4	0.29992902	0.18222287	0.1427002	0.17709213	0.13487571	0.8335004	0.09785419	0.35476008
ABCE1	0.25847155	0.3543219	0.25697333	0.27942145	0.19776319	0.44076693	0.19381356	0.29383114
ABCF1	0.41339344	0.31937993	0.27047202	0.27949166	0.19753899	0.4328062	0.24839896	0.28332025
ABCF2	0.21178755	0.27809078	0.17901555	0.17100233	0.09748018	0.34647688	0.109850585	0.29389563
ABCF3	0.23915763	0.20797984	0.10950743	0.13057457	0.1262151	0.2825029	0.08819417	0.20582168
ABCG1	0.1169423	0.08545108	0.21293806	0.16583203	0.078895226	0.89507663	0.031667158	0.18287458
ABCG2	0.7582219	0.06353894	0.059730276	0.0075640334	0.015809057	0.3690191	0.0018975332	0.099409565
ABCG5	0.23931132	0.0	0.0010227159	6.731378e-05	0.0010800194	0.0	0.0	0.0
ABCG8	0.08632006	0.0	0.00074327335	0.0003302219	0.00043187838	0.0	0.0	0.0
ABHD1	0.024253387	0.069864236	0.053493023	0.047473952	0.03915305	0.065840274	0.03401489	0.0053390283
ABHD10	0.17245373	0.12189378	0.13765714	0.10029939	0.10445006	0.16958362	0.079451814	0.1815217
ABHD11	1.0736318	0.14718261	0.15026492	0.051914744	0.09237231	0.12611105	0.06486798	0.15582182
ABHD12	0.4214763	0.32622242	0.5559021	0.117467135	0.16498917	0.33267185	0.13009115	0.33991107
ABHD12B	0.09508854	0.004016064	0.0021090824	0.00046484947	0.0018029088	0.0	0.0009487666	0.0
ABHD13	0.16803715	0.2749729	0.20275457	0.2591116	0.12960652	0.275835	0.14303279	0.24978715
ABHD14A	0.16363287	0.38346744	0.121104345	0.28337628	0.33307397	0.22355597	0.19800347	0.34289765
ABHD14B	0.619684	0.40707022	0.22989923	0.42463058	0.28019214	0.38018024	0.18357047	0.2959463
ABHD15	0.12797868	0.062319912	0.19967934	0.123547375	0.073902674	0.047398217	0.12557434	0.06485601
ABHD16A	0.07372265	0.05393636	0.02407441	0.01038379	0.015895402	0.040089063	0.014231499	0.05872931
ABHD17A	0.25161284	0.20494202	0.2208777	0.38207284	0.13495226	0.6404393	0.087889835	0.22758271
ABHD17B	0.2337092	0.117910415	0.116347596	0.15870866	0.122426234	0.22169289	0.25355834	0.12810603
ABHD17C	0.82753897	0.15856823	0.03674618	0.011011768	0.013438341	0.15159062	0.010561676	0.01711957
ABHD2	0.5345108	0.33975363	0.36492538	0.12162317	0.075409204	0.27700305	0.18791348	0.3295386
ABHD3	0.5312427	0.14539836	0.20196788	0.25145537	0.2599352	0.13907716	0.12759799	0.20800592
ABHD4	0.105838776	0.143914	0.040099375	0.027459364	0.06810735	0.15502803	0.06064245	0.13287412
ABHD5	0.26713642	0.2753099	0.41967523	0.17004412	0.18861452	0.29990226	0.096892625	0.42556548
ABHD6	0.26301482	0.10084732	0.22737214	0.04480722	0.036503594	0.13464183	0.09046524	0.2669422
ABHD8	0.03231744	0.16481625	0.1695412	0.07281871	0.13608348	0.09691167	0.07446769	0.21267484
ABI1	0.34785652	0.28734946	0.40954077	0.34189957	0.25801972	0.32950824	0.23815976	0.2576441
ABI2	0.17032535	0.68405485	0.18800586	0.19017068	0.11768526	0.56808996	0.1319173	0.4664967
ABI3	0.017033404	0.03979979	0.7247894	0.44127768	0.1279813	1.1079936	0.026907817	0.03582763
ABI3BP	0.021210115	1.1299993	0.008123854	0.0065885037	0.012126951	0.072286256	0.022953104	0.8412093
ABL1	0.2675004	0.47438875	0.16050047	0.07362673	0.041945066	0.28390837	0.025605634	0.18387277
ABL2	0.13528617	0.5349358	0.572812	0.1124782	0.097048596	1.2238426	0.16161492	0.9312131
ABLIM1	0.44787496	0.10655825	0.052531134	0.29310206	0.09215927	0.8033712	0.06840654	0.35023257
ABLIM2	0.1962909	0.0097993575	0.015481158	0.0120822415	0.004674843	0.21985283	0.009259259	0.031756144
ABLIM3	0.0035185223	0.3019197	0.042464785	0.0025998494	0.0050080093	0.5719265	0.017910657	0.18808854
ABO	0.6317226	0.031181982	0.014776699	0.004220529	0.006213178	0.25466835	0.009259259	0.0
ABR	0.48828506	0.23606288	0.27571362	0.117843285	0.0556188	0.3378914	0.084395915	0.14768416
ABRACL	0.64791805	0.18867186	0.73162264	0.8822901	0.31590196	0.33954728	0.61027765	0.13293168
ABT1	0.28558862	0.25866508	0.18302475	0.3469408	0.22579142	0.35655087	0.22520965	0.24521399
ABTB1	0.12235866	0.35465378	0.27571395	0.2701598	0.15387028	0.4221821	0.15635404	0.54486614
ABTB2	0.13699564	0.02679702	0.02917522	0.020074856	0.014320264	0.0149520505	0.019467285	0.021356113
AC000003.2	0.0019683435	0.03871735	0.12703764	0.0071352604	0.010053889	0.0064847223	0.0227704	0.010678057
AC000032.2	0.005683433	0.002008032	0.0034614687	0.0005749234	0.002192713	0.0	0.0	0.0
AC000068.10	0.0055133756	0.002008032	0.0	0.0005749234	0.0024861314	0.0	0.0	0.0
AC000068.5	0.021675743	0.0029895366	0.0023211592	0.008696511	0.040189937	0.009685257	0.0018975332	0.010678057
AC000068.9	0.0057017934	0.002008032	0.0	0.00042208924	0.0025277017	0.0051733055	0.0	0.0
AC002044.4	0.007204957	0.0	0.0064045717	0.00040388264	0.00018827959	0.0	0.0	0.0
AC002059.10	0.000120082615	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC002116.7	0.029147262	0.002008032	0.0093349125	0.007934175	0.011178	0.0025866528	0.0074759293	0.0
AC002117.1	0.056042567	0.12957117	0.087776095	0.09955457	0.093600184	0.08327266	0.03925502	0.043632895
AC002306.1	0.030342393	0.0097752055	0.007891144	0.09034652	0.017979143	0.011803422	0.026201656	0.010678057
AC002310.12	0.09721493	0.09731318	0.033983875	0.071976334	0.05458877	0.12538901	0.025358602	0.046882946
AC002310.7	0.009990636	0.003929877	0.008409483	0.006803721	0.005888327	0.008061138	0.0018975332	0.0
AC002331.1	0.0042811194	0.0065107513	0.013955047	0.09822118	0.010037089	0.0034090746	0.025388291	0.0
AC002398.11	0.0040638647	0.0046978435	0.0029645248	0.0017247703	0.0018549743	0.0057758954	0.0	0.0053390283
AC002451.3	0.05533356	0.017813727	0.026091391	0.0009114923	0.010742498	0.08855358	0.0037950664	0.053390283
AC002454.1	0.019363474	0.009354522	0.004455356	0.0010397729	0.0025555235	0.0099865515	0.008424696	0.0
AC002456.2	0.0007104291	0.03627193	0.026485806	0.00017738774	0.0040068584	0.004377596	0.0009487666	0.0053390283
AC002467.7	0.13054691	0.07497771	0.085556164	0.03943713	0.035536435	0.11355345	0.03148242	0.030250913
AC002472.13	0.011156468	0.0042707664	0.0044339346	0.0059236125	0.004250476	0.011515009	0.0	0.0053390283
AC002480.3	0.0	0.0	0.0019792062	0.00013462755	0.0018189036	0.0051733055	0.0	0.0
AC002480.5	0.0	0.0	0.0014779781	0.0002692551	0.016082041	0.0	0.0	0.0
AC002511.1	0.0	0.0	0.0	0.0	0.0008472582	0.0	0.0	0.0
AC002511.2	0.004071137	0.13051175	0.0027224796	0.0005812704	0.0008343734	0.003549302	0.0046296297	0.0
AC002511.3	0.0014208582	0.019694408	0.00074327335	0.0	0.00014395946	0.0	0.0	0.0
AC002519.8	0.0	0.0	0.0	0.00013462755	0.0006589786	0.0	0.0	0.0
AC002550.5	0.0031519895	0.002008032	0.0	0.0003547755	0.00028516917	0.0	0.0	0.0
AC003051.1	0.00810002	0.011009952	0.0073898905	0.008885418	0.012442673	0.023103582	0.0018975332	0.010678057
AC003075.4	0.106005475	0.15126511	0.12865135	0.1483943	0.041196667	0.12938191	0.10544394	0.22567481
AC003090.1	0.005292957	0.1021932	0.004360858	0.0013517882	0.0069348607	0.004409305	0.0009487666	0.0053390283
AC003092.1	0.0	0.0057243705	0.0024718656	0.0003547755	0.005736704	0.0	0.0046296297	0.0
AC003092.2	0.0	0.002008032	0.0	6.731378e-05	0.00090257736	0.0	0.0	0.0
AC003102.3	0.0051606735	0.0042707664	0.0064045717	0.0071352604	0.009716223	0.013423386	0.0018975332	0.0053390283
AC003104.1	0.00060041307	0.0017083066	0.0019706376	0.0059236125	0.000470699	0.007701194	0.0018975332	0.0
AC003665.1	0.038092043	0.04336888	0.0322013	0.0049368967	0.015512643	0.042306855	0.009487666	0.037373196
AC003956.1	0.0052832766	0.002008032	0.0002463297	0.00011007397	0.0012873858	0.0025866528	0.0	0.0
AC003991.3	0.039932877	0.0	0.0044596405	0.0013208876	0.0036631369	0.010346611	0.0	0.0
AC004009.3	0.0029118243	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004012.1	0.0028517828	0.0	0.00074327335	0.0	0.0	0.0	0.0	0.0
AC004016.1	0.0	0.0	0.0004926594	0.0002692551	0.012426454	0.0	0.0	0.0
AC004053.1	0.0035662139	0.006151447	0.005695573	0.0036696885	0.0033801878	0.0132345585	0.019467285	0.0053390283
AC004067.5	0.002086607	0.004016064	0.0043848017	0.0031802855	0.000861007	0.001967308	0.0	0.0
AC004069.2	0.087574646	0.086471476	0.14367914	0.057346836	0.04451239	0.07966018	0.03491734	0.04237855
AC004156.3	0.020480575	0.008032128	0.014970126	0.01262075	0.0072867624	0.012514332	0.023148147	0.0
AC004158.2	0.033441745	0.00640615	0.0053941663	0.005997318	0.008197184	0.0071684127	0.0018975332	0.0053390283
AC004231.2	0.004622822	0.0	0.0	0.00011007397	0.0	0.0025866528	0.0	0.0
AC004257.1	0.0062823035	0.006664711	0.0027224796	0.0011070867	0.0010963565	0.0080612535	0.0046296297	0.026695142
AC004257.3	0.08266611	0.086180545	0.06129637	0.05381286	0.036741298	0.11701895	0.034155596	0.07621018
AC004381.6	0.10491463	0.029589225	0.02425235	0.01111952	0.015490632	0.06290424	0.08208588	0.016017085
AC004447.2	0.0030377836	0.00512492	0.0044339346	0.002423296	0.002259355	0.0	0.0	0.010678057
AC004463.6	0.04752847	0.0391903	0.012316484	0.0163812	0.018236544	0.02723255	0.0037950664	0.0053390283
AC004466.1	0.029339533	0.0017083066	0.0014779781	0.0008077653	0.0010355378	0.0019252985	0.0	0.0053390283
AC004490.1	0.018996265	0.02693794	0.013624719	0.016531805	0.0114379255	0.03890813	0.006641366	0.0053390283
AC004510.3	0.016479459	0.002008032	0.00074327335	0.0028627575	0.0059326557	0.0	0.01779816	0.0
AC004528.4	0.018026305	0.016655989	0.00884595	0.008695719	0.009691484	0.015402388	0.0075901328	0.03203417
AC004538.3	0.0	0.11659193	0.0	0.0002692551	0.00037655918	0.0032889487	0.0	0.0
AC004540.4	0.01793966	0.0075188642	0.0034657528	0.00042208924	0.0018398971	0.2749432	0.011156793	0.09076348
AC004540.5	0.018986937	0.080373555	0.028915066	0.002190454	0.03501248	0.27643305	0.01601483	0.14874165
AC004775.5	0.004943162	0.0	0.0014779781	0.0	0.00014395946	0.0025866528	0.0	0.0
AC004791.2	0.0016694455	0.0010284726	0.0014417842	0.0011717943	0.002792667	0.0014254383	1.1438379	0.0
AC004840.9	0.0	0.0008541533	0.0009853188	0.004442709	0.0046978733	0.0057758954	0.0	0.0
AC004854.4	0.008761801	0.001921845	0.0024718656	0.009975639	0.0060883528	0.0061359545	0.0055783964	0.010678057
AC004870.4	0.028462578	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC004878.2	0.005683433	0.009054797	0.0022298202	0.007589591	0.0076741152	0.003549302	0.0009487666	0.0
AC004878.8	0.0005207165	0.004356954	0.0022255357	0.00694351	0.008237984	0.0019252985	0.0018975332	0.021356113
AC004893.11	0.057344195	0.038967486	0.038336277	0.029867707	0.026278976	0.057247143	0.04284384	0.037373196
AC004941.3	0.0034702385	0.008032128	0.0054492434	0.007962573	0.004919457	0.010346611	0.0009487666	0.0
AC004951.6	0.17741719	0.21318436	0.17662436	0.21032955	0.119411185	0.29278532	0.10447934	0.24133472
AC004988.1	0.0053560105	0.002008032	0.004455356	0.0028500636	0.005074976	0.0025866528	0.0009487666	0.0
AC005003.1	0.037049174	0.041559286	0.01606811	0.026353033	0.025356868	0.041162655	0.018975332	0.03255919
AC005037.3	0.04052673	0.0054502296	0.008405199	0.0067352215	0.020925634	0.0053945016	0.0018975332	0.0053390283
AC005062.2	0.052013323	0.038785588	0.032505058	0.011027712	0.029875282	0.009192869	0.0113852	0.0053390283
AC005076.5	0.0560136	0.0557129	0.08561931	0.021586448	0.056272462	0.07926767	0.046963297	0.015230825
AC005082.12	0.003009189	0.012175543	0.03776556	0.0033030533	0.0042459024	0.009325197	0.006527163	0.0
AC005083.1	0.09845812	0.005615982	0.12157423	0.038454615	0.22573802	0.009067567	0.028120918	0.0053390283
AC005152.2	0.122521095	0.0	0.0	0.0	0.0010876951	0.0	0.0	0.0
AC005152.3	0.0	0.0	0.0	0.00017738774	0.0020793248	0.0	0.0	0.0
AC005154.6	0.19556525	0.27980512	0.19951545	0.12663457	0.09585266	0.28165963	0.10829903	0.19455291
AC005220.3	0.0	0.002008032	0.00074327335	0.00044029587	0.0077878837	0.0	0.0	0.0
AC005224.2	0.04265758	0.0080538895	0.008660099	0.006313132	0.007883079	0.010949201	0.0009487666	0.0053390283
AC005237.4	0.0	0.0	0.0	0.0005321632	0.00080293807	0.0	0.0	0.0
AC005253.2	0.029231364	0.03328682	0.04396516	0.049538895	0.03884465	0.03161503	0.0296369	0.016017085
AC005256.1	0.00559586	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC005264.2	0.0014208582	0.0008541533	0.021958258	0.0059321346	0.00268541	0.010338373	0.014837655	0.0
AC005306.3	0.061311778	0.015725056	0.029127529	0.02530998	0.008621886	0.019896852	0.0037950664	0.0254974
AC005307.1	0.00054037175	0.0	0.0	0.00011007397	0.00071979733	0.0025866528	0.0	0.0
AC005329.7	0.04187676	0.004570492	0.013603829	0.0049304436	0.0071750563	0.0099865515	0.0009487666	0.016017085
AC005339.2	0.011418387	0.009609225	0.006179664	0.00326664	0.01788951	0.010589141	0.0056926	0.010678057
AC005355.2	0.34019262	0.009447232	0.0026470372	0.0014500025	0.0040784585	0.025646249	0.0018083486	0.0053390283
AC005356.1	0.0015877292	0.015801836	0.0073898905	0.0006731378	0.005177689	0.028879477	0.0151802655	0.010434756
AC005487.2	0.0	0.0	0.0	0.0	0.0025555235	0.0	0.0	0.0
AC005498.3	0.0050109597	0.014651816	0.00913562	0.006172158	0.0021401434	0.024485055	0.0055783964	0.016017085
AC005523.2	0.040947277	0.034470968	0.05944284	0.042702623	0.03151068	0.05378429	0.07236981	0.07978783
AC005523.3	0.0029122909	0.004143415	0.008906428	0.0030401452	0.009701425	0.0124550415	0.0009487666	0.0
AC005537.2	0.0014309247	0.002008032	0.00074327335	0.00022014794	0.0010077162	0.0025866528	0.0	0.0
AC005540.3	0.07705079	0.08523454	0.083354004	0.074216336	0.058068052	0.12556905	0.08609621	0.071744
AC005550.3	0.22432148	0.0	0.0012359328	0.0002447015	0.00070676464	0.006836352	0.0	0.0
AC005562.1	0.14562759	0.194874	0.107823886	0.0696512	0.12808636	0.23501284	0.10317849	0.21993724
AC005592.2	0.0042625745	0.0070056007	0.0	0.0	0.00014395946	0.0025866528	0.0	0.0
AC005609.1	0.004185188	0.0034166132	0.002463297	0.0026925511	0.0025417747	0.003850597	0.0	0.0
AC005614.3	0.0039621894	0.0030757235	0.009407656	0.0051751453	0.0026715705	0.0045119515	0.0009487666	0.0
AC005616.2	0.009313099	0.0054246453	0.010881349	0.0067708003	0.0046086824	0.007643616	0.006527163	0.0
AC005618.6	0.002789722	0.0075188642	0.0029730934	0.003253946	0.0065918746	0.0061359545	0.0055783964	0.0
AC005682.5	0.005079107	0.059954036	0.019289874	0.022045834	0.030443879	0.021711215	0.0075901328	0.12813668
AC005682.8	0.0	0.00768738	0.0064045717	0.0057889847	0.010478297	0.0057758954	0.0056926	0.048051253
AC005754.8	0.0	0.017986102	0.0	0.00022014794	0.0	0.013895914	0.0	0.0
AC005757.6	0.0014208582	0.006024096	0.0037163668	0.0010643264	0.0028546902	0.0129332645	0.0046296297	0.0
AC005785.2	0.0033039597	0.0	0.0004926594	0.0013462756	0.001882796	0.0	0.0037950664	0.0
AC005786.5	0.004643334	0.002008032	0.0074327337	0.0005749234	0.0026771608	0.0025866528	0.0	0.0
AC005789.11	0.007216166	0.00768738	0.0004926594	0.0021540408	0.0016003766	0.06353485	0.0	0.026695142
AC005932.1	0.0007104291	0.008032128	0.0056870044	0.0005076096	0.0039813695	0.0	0.0	0.0
AC005943.4	0.03627633	0.016597472	0.011744395	0.013149831	0.013372343	0.02239341	0.0113852	0.016017085
AC005943.5	0.017481858	0.0034166132	0.0019706376	0.0017501581	0.0020710756	0.0057758954	0.0018975332	0.016017085
AC005944.2	0.016635383	0.007233016	0.012869124	0.009236023	0.0045101536	0.025506468	0.0	0.0
AC005954.4	0.017891716	0.015989784	0.020135583	0.013186825	0.011651018	0.016034676	0.017683955	0.010678057
AC006050.2	0.0012008261	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006115.3	0.0	0.0042707664	0.0	0.0	0.0	0.0019252985	0.0	0.0
AC006116.17	0.017548004	0.0049975687	0.009139905	0.002397908	0.002846192	0.011610555	0.0018975332	0.0053390283
AC006116.20	0.0049209143	0.005910145	0.013906106	0.023008903	0.005635555	0.20421973	0.05313093	0.016017085
AC006129.2	0.019003145	0.029346323	0.056284234	0.28035003	0.22217807	0.06309983	0.049229477	0.0070847436
AC006129.4	0.0054154694	0.015951687	0.06840154	0.043351725	0.41461667	0.026444498	0.04723976	0.011453748
AC006132.1	0.01839989	0.024253953	0.023072788	0.04694521	0.17434163	0.051193494	0.13365869	0.041363325
AC006160.5	0.0024314937	0.008114456	0.008897859	0.0036760354	0.004897695	0.0064372495	0.0028463	0.010678057
AC006273.4	0.0007104291	0.018712904	0.0	0.00055036985	0.00086375675	0.0151598565	0.0046296297	0.0
AC006273.5	0.007327265	0.006578524	0.0019792062	0.0007705178	0.00076411746	0.01774651	0.0009487666	0.0
AC006273.7	0.006152857	0.0034166132	0.0029559562	0.0022886684	0.0034713915	0.0057758954	0.0018975332	0.0
AC006277.2	0.0027973223	0.002008032	0.0029730934	0.00044029587	0.00086375675	0.023279876	0.0	0.0
AC006369.2	0.0034321798	0.004016064	0.0046789404	0.074109435	0.004234365	0.0	0.0046296297	0.0
AC006449.1	0.0	0.0	0.0	0.0006731378	0.00018827959	0.0	0.0	0.0
AC006486.1	0.04536523	0.07363553	0.015114812	0.0061928676	0.011933456	0.045365762	0.0113852	0.010678057
AC006538.1	0.0005833104	0.0	0.0009853188	0.00040388264	0.002259355	0.0	0.0	0.0
AC006547.14	0.0	0.0	0.0	0.0	0.0	0.038505968	0.0	0.0
AC006547.15	0.014778271	0.004570492	0.006918653	0.0078114076	0.0069000246	0.018047806	0.0074759293	0.0053390283
AC006547.8	0.0014208582	0.0	0.0012359328	0.0005321632	0.00076411746	0.0025866528	0.0	0.0
AC006942.4	0.015195267	0.103055954	0.018990446	0.012854563	0.058033846	0.0682095	0.029069155	0.069407366
AC006946.16	0.0014208582	0.014951542	0.0012359328	0.00090514537	0.019322634	0.0061359545	0.0	0.021356113
AC006953.1	0.0012008261	0.0	0.01527244	0.0	0.00075311837	0.0	0.0018975332	0.0
AC006967.1	0.0014409914	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC006994.2	0.03370581	0.053000845	0.042566665	0.014910818	0.057788692	0.039930105	0.013282732	0.073065236
AC007009.1	0.020481274	0.0	0.0	0.00011007397	0.0	0.0025866528	0.0	0.0
AC007036.4	0.01150234	0.010145518	0.01123899	0.00659675	0.0053149867	0.024708312	0.0018975332	0.010678057
AC007036.6	0.008915923	0.0	0.009407656	0.0002874617	0.0017165145	0.0	0.0046296297	0.0
AC007038.7	0.019621694	0.00828683	0.010129508	0.009768128	0.007372661	0.029968202	0.013054326	0.0
AC007040.11	0.009599368	0.016832223	0.0029730934	0.0033513263	0.0024991445	0.0051733055	0.010208026	0.026695142
AC007040.6	0.0	0.0	0.0004926594	6.731378e-05	0.000941398	0.0	0.0	0.0
AC007092.1	0.011081064	0.015638715	0.013745483	0.012520363	0.017162858	0.019252984	0.018975332	0.026695142
AC007099.1	0.0029819324	0.0	0.0	0.0	0.00014395946	0.0	0.0	0.0
AC007161.5	0.028843578	0.10525156	0.0148364175	0.021415727	0.02279694	0.19717488	0.0018975332	0.08300996
AC007182.6	0.18815881	0.0	0.0012359328	0.00061768363	0.0011135875	0.0025866528	0.0	0.0
AC007193.9	0.0	0.0070917876	0.0	0.00020194132	0.00052601815	0.0019252985	0.0	0.0053390283
AC007228.11	0.023383852	0.03519715	0.009479547	0.008546347	0.011368469	0.060894895	0.0056926	0.06406834
AC007228.5	0.0	0.006024096	0.0009896031	0.0017675306	0.0027297302	0.0	0.0	0.0
AC007228.9	0.1291714	0.11375137	0.049808193	0.02674323	0.020382892	0.09272983	0.03108089	0.06385115
AC007246.3	0.32413763	0.36132246	0.10887566	0.057887856	0.12175076	0.2488034	0.052529577	0.2638874
AC007255.8	0.04617822	0.0	0.0	0.0	0.00071979733	0.0	0.0	0.0
AC007278.2	0.0	0.0	0.0	0.0028271787	9.4139796e-05	0.0	0.0	0.0
