gene	Epithelial	Fibroblast	Myeloid	T_NK	B_Plasma	Endothelial	Mast	Stromal_other
7SK	0.016141037	0.0037445438	0.05307976	0.011260926	0.088445686	0.10500777	0.032258064	0.010678057
A1BG	0.021007285	0.21818596	0.15879172	0.1376994	0.18790287	0.095608175	0.12669115	0.037205704
A1BG-AS1	0.0012502794	0.17713842	0.08057602	0.069653116	0.07593489	0.058166496	0.031915456	0.2169461
A1CF	0.95523846	0.006854292	0.008789027	0.00462108	0.0038488484	0.006363121	0.008568069	0.0
A2M	0.021823892	2.890883	0.41943395	0.02886897	0.053365722	3.2739787	0.040578038	0.9568107
A2M-AS1	0.010144798	0.04806639	0.041349523	0.12732367	0.020052288	0.035140745	0.19563505	0.066999964
A2ML1	0.003555477	0.0008541533	0.0049523	0.0039080433	0.00418437	0.010346611	0.0	0.0053390283
A4GALT	0.00764339	0.7874177	0.029572692	0.005344774	0.028176934	1.3088051	0.012105559	0.27020225
AAAS	0.25452432	0.33949834	0.14720467	0.11991173	0.15657723	0.23956153	0.07195167	0.30491093
AACS	0.31993943	0.17318106	0.0831045	0.071100764	0.09174468	0.14055584	0.047184326	0.06945024
AADAC	0.84362006	0.005576155	0.0017601008	0.0022926799	0.0014741136	0.00053970364	0.008145803	0.0
AADAT	0.10544652	0.11445767	0.015787758	0.009957433	0.0137198055	0.016062839	0.013888889	0.04462854
AAED1	0.10410902	0.42254567	0.3867919	0.20657867	0.20773312	0.6772625	0.27896947	0.49064302
AAGAB	0.25691634	0.22662508	0.14545454	0.17016864	0.093880035	0.30064029	0.10002881	0.113195725
AAK1	0.11866907	0.13561304	0.23454446	0.63865453	0.09704327	0.21534179	0.15968496	0.10718988
AAMDC	0.6553326	0.6606899	0.19937913	0.12059395	0.0839514	1.1199428	0.23257995	0.9060433
AAMP	0.6395945	0.5757408	0.29935724	0.19793046	0.23709276	0.44994158	0.12552407	0.47751006
AANAT	0.00036024785	0.0	0.0014865467	0.0005812704	0.014476417	0.0	0.0009487666	0.0
AAR2	0.16918084	0.27512878	0.12079522	0.10374265	0.07267371	0.31825906	0.06304456	0.21337958
AARD	0.011562796	0.14798273	0.021836914	0.009034469	0.010325911	0.022664754	0.056697592	0.021356113
AARS	0.23496929	0.3166493	0.14133216	0.07930517	0.24955812	0.37309915	0.10066822	0.3739257
AARS2	0.1250803	0.10330424	0.058783107	0.036024146	0.036255993	0.118175834	0.018454272	0.037373196
AARSD1	0.12982517	0.15999848	0.11132894	0.2413877	0.14371791	0.13890609	0.078088455	0.12094869
AASDH	0.20842424	0.30278468	0.15624626	0.16919199	0.115218416	0.30432808	0.15251918	0.27957627
AASDHPPT	0.17685017	0.3268871	0.22315949	0.2102268	0.17978027	0.37405887	0.16817379	0.37205777
AASS	0.062323947	0.41050947	0.016232125	0.014476199	0.015657786	0.3437489	0.04212348	0.19586882
AATF	0.2817677	0.26784122	0.24435788	0.29298145	0.19336514	0.33804882	0.16626255	0.2549275
AATK	0.2131637	0.0233897	0.06266886	0.013727555	0.006472078	0.05311003	0.016849391	0.3020652
ABAT	0.17455679	0.060187675	0.11315607	0.07296095	0.037572235	0.051017202	0.03429742	0.0487375
ABCA1	0.04610718	0.63741636	0.6313685	0.077947825	0.03812051	0.16396204	0.42691207	0.573589
ABCA10	0.05949697	0.36795396	0.009230696	0.008695098	0.021321382	0.022848353	0.010208026	0.008022615
ABCA12	0.03168444	0.004016064	0.0	0.0003120153	0.000470699	0.0	0.0055783964	0.0
ABCA13	0.028011015	0.0	0.0009896031	0.0012353673	0.0011461761	0.0025866528	0.0009487666	0.0
ABCA2	0.13109107	0.1550569	0.06252567	0.09060265	0.020333407	0.19812536	0.025132984	0.120847434
ABCA3	0.020201845	0.028141644	0.026050912	0.017443964	0.016597955	0.2464548	0.009487666	0.0788818
