gene	cell_type	mean_logexpr	specificity
CD3D	T_NK	1.6800469160079956	1.5953696966171265
TRAC	T_NK	1.6228106021881104	1.4836151599884033
CD3E	T_NK	1.3818769454956055	1.3271806240081787
CD2	T_NK	1.3600268363952637	1.2279318571090698
TRBC2	T_NK	1.3712797164916992	1.193204641342163
CD7	T_NK	1.2885429859161377	1.1523563861846924
CCL5	T_NK	1.2650692462921143	1.1366746425628662
KLRB1	T_NK	1.348701000213623	1.0422989130020142
IL7R	T_NK	1.3394536972045898	0.9796032905578613
CD3G	T_NK	1.008684515953064	0.9491174221038818
LCK	T_NK	1.045865535736084	0.9451438188552856
BTG1	T_NK	2.2031948566436768	0.8921281099319458
EVL	T_NK	1.2678651809692383	0.8800297975540161
CD247	T_NK	0.8141722679138184	0.7632927894592285
GZMM	T_NK	0.8050034046173096	0.7628422379493713
GZMA	T_NK	0.8062922358512878	0.760614275932312
RORA	T_NK	0.9719935655593872	0.7593376636505127
CXCR4	T_NK	1.6235480308532715	0.7425620555877686
TRAT1	T_NK	0.797681450843811	0.7405218482017517
NKG7	T_NK	0.8761485815048218	0.737657368183136
SPOCK2	T_NK	0.8398916125297546	0.6962152123451233
CD52	T_NK	1.496158242225647	0.6795467734336853
IL32	T_NK	1.5449833869934082	0.67143714427948
AC092580.4	T_NK	0.7572154402732849	0.6691892147064209
GPR171	T_NK	0.7916265726089478	0.6596231460571289
RPS3	T_NK	3.3765931129455566	0.6590423583984375
CD8A	T_NK	0.7025773525238037	0.6545501351356506
LEPROTL1	T_NK	1.0809217691421509	0.6519222259521484
LTB	T_NK	1.178152322769165	0.6461624503135681
PRKCQ-AS1	T_NK	0.7058931589126587	0.6361547112464905
RPS15A	T_NK	3.78004789352417	0.6246495246887207
CD6	T_NK	0.6724127531051636	0.622965395450592
CD96	T_NK	0.752344012260437	0.6208029389381409
RPS27	T_NK	3.726905107498169	0.605504035949707
RPL30	T_NK	2.8956613540649414	0.6026802062988281
RPL13	T_NK	4.962167739868164	0.589137077331543
KLRD1	T_NK	0.6185510158538818	0.5813114047050476
ACAP1	T_NK	0.9783403277397156	0.5791769623756409
ZFP36L2	T_NK	1.5485602617263794	0.5788273811340332
GZMK	T_NK	0.6064221858978271	0.5750221014022827
CD8B	T_NK	0.6178892254829407	0.5738677978515625
CST7	T_NK	0.878874659538269	0.5708545446395874
SARAF	T_NK	1.5690838098526	0.5705902576446533
ICOS	T_NK	0.6605902314186096	0.5702322125434875
RPS25	T_NK	3.300642251968384	0.5667645931243896
TRBC1	T_NK	0.9991371035575867	0.565933108329773
PPP2R5C	T_NK	0.9301161170005798	0.5589048266410828
SH2D1A	T_NK	0.591327965259552	0.5550144910812378
RPL31	T_NK	2.888087272644043	0.5498218536376953
RPS6	T_NK	3.985760450363159	0.5490705966949463
HOPX	T_NK	0.6951371431350708	0.5431695580482483
CD40LG	T_NK	0.5853362679481506	0.5287690758705139
RGL4	T_NK	0.5623464584350586	0.5156362056732178
TRGC2	T_NK	0.555693507194519	0.5132083892822266
ZAP70	T_NK	0.5702035427093506	0.5110324621200562
RPS12	T_NK	3.5408761501312256	0.5098154544830322
PRF1	T_NK	0.5354896187782288	0.5089570879936218
TIGIT	T_NK	0.5553317070007324	0.5077747106552124
GATA3	T_NK	0.5804507732391357	0.507166862487793
PYHIN1	T_NK	0.5657188892364502	0.5024701952934265
SH2D2A	T_NK	0.5559878945350647	0.5001367926597595
BCL11B	T_NK	0.5965560674667358	0.4979146122932434
RPS19	T_NK	4.208553314208984	0.49785614013671875
RPL19	T_NK	3.477548599243164	0.49494314193725586
RPL23A	T_NK	3.28165864944458	0.4924430847167969
CD28	T_NK	0.5373715162277222	0.4910223186016083
RPL13A	T_NK	4.508421897888184	0.48622989654541016
SIRPG	T_NK	0.5150748491287231	0.4861176609992981
RPS18	T_NK	4.4854536056518555	0.4833354949951172
RPL14	T_NK	2.878035068511963	0.4743647575378418
TMEM66	T_NK	1.622268795967102	0.4741288423538208
RPLP2	T_NK	4.04808235168457	0.4735145568847656
STAT4	T_NK	0.6408407688140869	0.4705720841884613
RPS29	T_NK	2.381082057952881	0.46960771083831787
RPL11	T_NK	3.718430519104004	0.4615941047668457
CLEC2D	T_NK	0.6790095567703247	0.46132558584213257
RPL32	T_NK	4.126461982727051	0.4531087875366211
FYN	T_NK	0.8886589407920837	0.45294153690338135
IL2RB	T_NK	0.5034319758415222	0.44971421360969543
RPSA	T_NK	1.7930958271026611	0.44968438148498535
RPL27A	T_NK	3.5289247035980225	0.4496009349822998
GZMB	T_NK	0.49625903367996216	0.4455914795398712
EEF1A1	T_NK	4.5513715744018555	0.43789196014404297
OXNAD1	T_NK	0.611939013004303	0.43711575865745544
CXCR6	T_NK	0.47057217359542847	0.4368857741355896
TTC39C	T_NK	0.5972738265991211	0.4331051707267761
RCAN3	T_NK	0.5801015496253967	0.4326869547367096
IFNG	T_NK	0.4727168083190918	0.4302446246147156
SCML4	T_NK	0.5358459949493408	0.42975446581840515
TBC1D10C	T_NK	0.6962277293205261	0.42911526560783386
PTGER4	T_NK	0.8098618984222412	0.42164042592048645
LINC00892	T_NK	0.4634898900985718	0.421584814786911
RPL35A	T_NK	3.1490368843078613	0.42047691345214844
RPS4X	T_NK	3.5354506969451904	0.4194624423980713
TRAF3IP3	T_NK	0.7336058616638184	0.4162368178367615
RPLP1	T_NK	5.1129350662231445	0.4161214828491211
STK17A	T_NK	0.8156514167785645	0.41512006521224976
IL2RG	T_NK	0.8723471164703369	0.4133147895336151
RPS2	T_NK	3.5390591621398926	0.413022518157959
CORO1A	T_NK	1.2789671421051025	0.4110187292098999
LINC00861	T_NK	0.4542863368988037	0.41073963046073914
DUSP2	T_NK	0.9636118412017822	0.41022586822509766
SEPT1	T_NK	0.7335267066955566	0.41010764241218567
PTPRC	T_NK	1.2222766876220703	0.4063984751701355
RPL10	T_NK	5.195676803588867	0.4053926467895508
AAK1	T_NK	0.6386545300483704	0.4041100740432739
RPS3A	T_NK	3.3793630599975586	0.4002552032470703
CD5	T_NK	0.4265890419483185	0.39707309007644653
GZMH	T_NK	0.41417595744132996	0.3951835036277771
RPL9	T_NK	3.112704277038574	0.3939509391784668
THEMIS	T_NK	0.4273833632469177	0.3929065465927124
RPS8	T_NK	3.2732982635498047	0.3890533447265625
ITK	T_NK	0.5433101654052734	0.38583970069885254
ARHGDIB	T_NK	1.4945486783981323	0.38410186767578125
CREM	T_NK	1.0465456247329712	0.3831585645675659
GNLY	T_NK	0.45940685272216797	0.38311320543289185
RAC2	T_NK	1.029889464378357	0.38271206617355347
XCL2	T_NK	0.42140334844589233	0.3774659037590027
CAMK4	T_NK	0.5133755207061768	0.37334686517715454
PPP1R2	T_NK	0.8611139059066772	0.3702840209007263
RPS14	T_NK	4.10936164855957	0.3677854537963867
CTLA4	T_NK	0.4422643780708313	0.3651823103427887
RPS15	T_NK	3.8634073734283447	0.3642141819000244
XCL1	T_NK	0.4119802713394165	0.3631555438041687
CD48	T_NK	1.095863938331604	0.3604625463485718
C14ORF64	T_NK	0.42416882514953613	0.36019402742385864
RPS27A	T_NK	3.627392053604126	0.36013102531433105
CD160	T_NK	0.3830263018608093	0.35708025097846985
LAG3	T_NK	0.4824635684490204	0.3548091948032379
RPS20	T_NK	2.7072575092315674	0.3523218631744385
STK4	T_NK	0.9707708358764648	0.3496929407119751
RPL21	T_NK	3.3697962760925293	0.3479189872741699
SYTL3	T_NK	0.7948096394538879	0.34599223732948303
DENND2D	T_NK	0.5459559559822083	0.33671268820762634
BIN2	T_NK	0.6278098821640015	0.3353722393512726
SEPT6	T_NK	0.7229952812194824	0.3333355784416199
TOMM7	T_NK	1.6184356212615967	0.3312361240386963
RPL4	T_NK	2.0336031913757324	0.33075857162475586
RP11-51J9.5	T_NK	0.5181523561477661	0.3270052373409271
RASGRP1	T_NK	0.41809993982315063	0.3261567950248718
CHRM3-AS2	T_NK	0.3909464478492737	0.32495927810668945
SLA2	T_NK	0.3574177026748657	0.3207380175590515
RASAL3	T_NK	0.46946534514427185	0.3203982412815094
PARP8	T_NK	0.5252480506896973	0.3198916018009186
RPL27	T_NK	2.409729480743408	0.318587064743042
SKAP1	T_NK	0.656230628490448	0.3140036463737488
SAMD3	T_NK	0.33401796221733093	0.3116806149482727
CTSW	T_NK	0.6217390894889832	0.3106503486633301
RPL3	T_NK	3.7941551208496094	0.309049129486084
RPS21	T_NK	1.936483383178711	0.3050711154937744
FYB	T_NK	1.1125576496124268	0.30395013093948364
PBXIP1	T_NK	0.6202558875083923	0.3027116656303406
CXCR3	T_NK	0.3848941922187805	0.29937028884887695
LYAR	T_NK	0.5881174802780151	0.2943137586116791
RPS16	T_NK	2.9026756286621094	0.29401206970214844
PTPRCAP	T_NK	0.7148289084434509	0.2932058572769165
SIT1	T_NK	0.5136851668357849	0.2926137149333954
SNHG6	T_NK	0.9966127276420593	0.291046142578125
TMIGD2	T_NK	0.49020108580589294	0.28940677642822266
CDC42SE2	T_NK	0.7143985033035278	0.28934821486473083
PCED1B-AS1	T_NK	0.9503233432769775	0.28835195302963257
RPL5	T_NK	2.258315086364746	0.28722310066223145
RPL18A	T_NK	3.7275710105895996	0.28495264053344727
AC013264.2	T_NK	0.31342342495918274	0.2843530774116516
RPL29	T_NK	3.027824640274048	0.27922987937927246
RPL15	T_NK	3.2484028339385986	0.27910852432250977
PTPN22	T_NK	0.5360063314437866	0.2776516079902649
TRDC	T_NK	0.41835612058639526	0.2759729027748108
TNFRSF25	T_NK	0.44362130761146545	0.27557000517845154
RARRES3	T_NK	1.0076932907104492	0.27211737632751465
RPS7	T_NK	2.7566022872924805	0.26953768730163574
TRGC1	T_NK	0.3613404333591461	0.2683320641517639
CYTIP	T_NK	1.0125114917755127	0.2677488327026367
PTPN4	T_NK	0.45088398456573486	0.2666170597076416
IPCEF1	T_NK	0.4020742177963257	0.2655580937862396
PDCD1	T_NK	0.2916709780693054	0.2632855772972107
RPL10A	T_NK	2.5788159370422363	0.25975823402404785
FAIM3	T_NK	0.5759072303771973	0.25899046659469604
TCF7	T_NK	0.6056509017944336	0.25762665271759033
TSC22D3	T_NK	1.7075308561325073	0.25249922275543213
CXCR1	T_NK	0.0036285968963056803	0.001649390673264861
CRYAB	Stromal_other	6.4632792472839355	5.166932582855225
PLP1	Stromal_other	5.181707382202148	4.761456489562988
S100B	Stromal_other	5.105947017669678	4.5758209228515625
GPM6B	Stromal_other	4.802916526794434	4.347230911254883
LGI4	Stromal_other	4.661769390106201	4.249477386474609
SPP1	Stromal_other	4.341731071472168	3.6002297401428223
MPZ	Stromal_other	3.8572068214416504	3.5711207389831543
GFRA3	Stromal_other	3.4357640743255615	3.2353429794311523
RGS16	Stromal_other	3.7740719318389893	3.1488637924194336
RGS5	Stromal_other	3.6525726318359375	3.1329312324523926
TUBB2B	Stromal_other	3.227915048599243	3.0497896671295166
ALDH1A1	Stromal_other	4.163132190704346	3.0211405754089355
SEMA3B	Stromal_other	3.8039045333862305	2.9981143474578857
NRXN1	Stromal_other	3.1805191040039062	2.8463025093078613
CLU	Stromal_other	4.712304592132568	2.51092791557312
MYOT	Stromal_other	2.670262098312378	2.4416444301605225
NTM	Stromal_other	2.628333330154419	2.275939464569092
CDH19	Stromal_other	2.583526611328125	2.273479461669922
PCSK2	Stromal_other	2.1646673679351807	2.031451940536499
COL9A3	Stromal_other	2.2036077976226807	1.908074140548706
TSPAN11	Stromal_other	2.6126811504364014	1.9027276039123535
PLEKHB1	Stromal_other	2.055759906768799	1.8931653499603271
MAL	Stromal_other	2.3137645721435547	1.8844034671783447
PMP22	Stromal_other	4.277177810668945	1.8474221229553223
MATN2	Stromal_other	3.2800447940826416	1.8431833982467651
CYR61	Stromal_other	4.469571590423584	1.8091363906860352
COX4I2	Stromal_other	2.03893780708313	1.7544392347335815
PMEPA1	Stromal_other	2.5313327312469482	1.7466509342193604
NDUFA4L2	Stromal_other	2.753355026245117	1.7246230840682983
ARHGAP15	Stromal_other	2.303328514099121	1.7017803192138672
TPPP3	Stromal_other	3.039947986602783	1.6736021041870117
FBLN2	Stromal_other	2.8240435123443604	1.6722302436828613
COL18A1	Stromal_other	3.509312391281128	1.6376910209655762
PRNP	Stromal_other	2.967430591583252	1.636387825012207
DKK3	Stromal_other	3.581911087036133	1.619363784790039
SMIM5	Stromal_other	1.934124231338501	1.6185442209243774
NOTCH3	Stromal_other	1.9968347549438477	1.6099672317504883
TUBA1A	Stromal_other	3.034799575805664	1.6007683277130127
SCN7A	Stromal_other	2.020066261291504	1.5746052265167236
ST6GALNAC2	Stromal_other	1.7320942878723145	1.57108473777771
OLFML2A	Stromal_other	2.40421199798584	1.5630214214324951
FEZ1	Stromal_other	2.330049753189087	1.5499963760375977
HSPA2	Stromal_other	2.102064847946167	1.5273802280426025
L1CAM	Stromal_other	1.6326552629470825	1.5225633382797241
CAPS	Stromal_other	1.6205129623413086	1.4891839027404785
CADM3	Stromal_other	1.8470383882522583	1.4696004390716553
XKR4	Stromal_other	1.6856192350387573	1.448215126991272
HIGD1B	Stromal_other	1.7656339406967163	1.3829219341278076
FADS3	Stromal_other	1.6084810495376587	1.3204470872879028
RP4-792G4.2	Stromal_other	1.3134009838104248	1.3095773458480835
COMT	Stromal_other	2.2138946056365967	1.3005733489990234
SNCA	Stromal_other	2.0500595569610596	1.2992806434631348
CADM2	Stromal_other	1.3926748037338257	1.278789758682251
PHLDA3	Stromal_other	2.3565096855163574	1.2770838737487793
SLC22A17	Stromal_other	1.8916847705841064	1.2556058168411255
NGFR	Stromal_other	1.4468766450881958	1.2355589866638184
CADM4	Stromal_other	1.2829208374023438	1.2309763431549072
IL11RA	Stromal_other	1.8216410875320435	1.2231900691986084
TTR	Stromal_other	1.2820576429367065	1.209172248840332
RERG	Stromal_other	1.7865465879440308	1.2054595947265625
FGFBP2	Stromal_other	1.3465118408203125	1.186838984489441
S100A1	Stromal_other	1.238654613494873	1.1834148168563843
NDRG2	Stromal_other	2.1099092960357666	1.1707617044448853
MIA	Stromal_other	1.251732587814331	1.1474993228912354
ANK3	Stromal_other	1.5663100481033325	1.1417651176452637
GPR155	Stromal_other	1.4559320211410522	1.1212406158447266
TFAP2A	Stromal_other	1.2056258916854858	1.1136239767074585
CNN3	Stromal_other	3.3063650131225586	1.1109185218811035
PCDH9	Stromal_other	1.3861300945281982	1.1032023429870605
