feature	n	n_NR	senmayo_auc	senmayo_plus_feature_auc	delta_auc	feature_beta_adjusted_for_senmayo	feature_p_adjusted_for_senmayo	lrt_p_increment	status
B_Plasma	239	117	0.7927000140114894	0.80369903320723	0.010999019195740645	-0.27297817932622387	0.10776559366313002	0.10230903297346118	ok
Endothelial	239	117	0.7927000140114894	0.7940311055065153	0.0013310914950259711	0.21728543154748114	0.2877859156034356	0.28742456271278427	ok
Epithelial	239	117	0.7927000140114894	0.7918593246462099	-0.0008406893652794789	-0.030295736489532467	0.9126517934856933	0.9125952481041852	ok
Fibroblast	239	117	0.7927000140114894	0.7945215076362618	0.0018214936247724633	-0.19054216771741805	0.4302117293948019	0.43058843929137236	ok
Mast	239	117	0.7927000140114894	0.7913689225164635	-0.00133109149502586	-0.1710119398763415	0.5465298105740235	0.5459498545755177	ok
Myeloid	239	117	0.7927000140114894	0.8004063331932184	0.007706319181729038	0.5036492355228369	0.07278489192138388	0.06874032558860035	ok
Stromal_other	239	117	0.7927000140114894	0.7943813927420484	0.0016813787305590688	0.12738721253782598	0.4775599032920679	0.4768208974165249	ok
T_NK	239	117	0.7927000140114894	0.7931904161412358	0.0004904021297463812	-0.014203196524027163	0.9454175089475213	0.9454175034067063	ok
